ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i
12.1781547733004,-0.821754356009391,51075.3327138,24.56287,24.57822,22.61385,23.25545,21.67733,8658170687899894346,0.5632083
12.1754724119787,-0.819435230186933,51075.3327138,23.93441,-9999,21.41019,21.28715,20.86288,8658170687899894147,0.1234404
12.1852662547943,-0.821136820752714,51075.3327138,23.27928,25.75383,24.68325,24.57208,20.64763,8658170687899894476,0.8631428
12.1986510198076,-0.819390072137192,51075.3327138,-9999,-9999,-9999,-9999,-9999,8658170687899894186,-9999
12.168014247272,-0.818976508077668,51075.3327138,-9999,-9999,20.89747,-9999,-9999,8658170687899894331,-9999
12.1525351979898,-0.819636485450952,51075.3327138,-9999,-9999,21.73149,20.48107,19.39246,8658170687899894496,0.2135196
12.163288276421,-0.821180559334328,51075.3327138,23.2021,24.9689,24.22335,24.23188,20.59546,8658170687899894475,0.8707089
12.2032495450138,-0.821129636991842,51075.3327138,22.97159,25.648,24.11712,25.08647,20.32944,8658170687899894477,0.9084587
12.2327124242344,-0.819360596031373,51075.3331284,-9999,-9999,22.08598,21.24543,20.85719,8658170687899959801,0.1484908
12.2298923870494,-0.820470937876513,51075.3331284,24.13324,24.48515,24.36377,22.08541,23.47521,8658170687899959933,0.252673
12.2125327270497,-0.817930498036628,51075.3331284,-9999,-9999,-9999,-9999,-9999,8658170687899959925,-9999
12.2242210467571,-0.820399419445611,51075.3331284,24.84403,24.22785,25.08688,25.69536,20.3363,8658170687899959993,0.6282003
12.2103704143873,-0.818006802897562,51075.3331284,-9999,-9999,-9999,-9999,-9999,8658170687899959532,-9999
12.2356973561836,-0.821052310477818,51075.3331284,23.6359,25.48357,24.68436,25.3391,20.59836,8658170687899959995,0.6012669
12.1681021166527,-0.763557790123793,51081.3162672,22.57768,21.91385,21.11816,21.08251,20.72606,8658170821574590895,0.1035579
12.1682226175182,-0.737221388248613,51081.3162672,21.39173,21.46953,20.63189,19.95877,19.50653,8658170821574590897,0.09058394
12.1678708322548,-0.819065084637297,51081.3162672,23.46331,23.30259,22.00213,21.30719,21.33687,8658170821574591051,0.1749681
12.1675173407128,-0.758992061980791,51081.3162672,22.27047,22.5364,21.23786,20.69683,20.29662,8658170821574590572,0.09295294
12.1677526773706,-0.761114367040351,51081.3162672,23.71663,22.78489,21.18999,20.41335,19.72236,8658170821574590571,0.05265472
12.1672611703561,-0.733015338617823,51081.3162672,21.82534,22.06986,21.30167,20.94609,20.80923,8658170821574590894,0.1374308
12.1669718772145,-0.770805536865841,51081.3162672,21.4355,20.69952,19.99623,19.63792,19.39,8658170821574590893,0.0471145
12.152876986354,-0.791930768348033,51081.3162672,22.80832,21.9586,20.60791,19.38498,18.69639,8658170821574590610,0.02320428
12.1525115754388,-0.799558001728664,51081.3162672,23.80079,20.29969,18.79337,17.79609,17.27489,8658170821574590592,0.00773549
12.1527147479649,-0.819288123554607,51081.3162672,22.73144,25.04297,22.55496,21.28435,21.41265,8658170821574591129,0.1599123
12.1534992687196,-0.767365135742655,51081.3162672,24.81059,22.81697,21.31164,20.86636,20.34466,8658170821574591041,0.0887704
12.1527144584396,-0.728625227659049,51081.3162672,24.64032,23.40157,21.40132,20.46527,19.74322,8658170821574591040,0.05487516
12.1527315717919,-0.794511912340995,51081.3162672,22.35994,22.88194,21.8794,21.42821,20.42876,8658170821574591039,0.1566594
12.1529559218901,-0.773730346508722,51081.3162672,22.26852,21.59618,20.58493,20.27951,19.9495,8658170821574590868,0.06344654
12.1575546613807,-0.774485269478565,51081.3162672,22.46729,22.87322,22.96028,21.5816,20.77393,8658170821574590878,0.1828448
12.1575477588833,-0.729886137573238,51081.3162672,24.20158,23.66932,21.63024,21.48368,20.7997,8658170821574591043,0.2473833
12.157241664712,-0.761437318887421,51081.3162672,26.64053,24.38904,26.58084,25.7504,19.9396,8658170821574591165,0.7415397
12.156535834629,-0.798926638209002,51081.3162672,23.00611,22.29085,21.97147,21.36772,21.88391,8658170821574590876,0.1327251
12.1596136294413,-0.754163415035095,51081.3162672,20.13122,17.43384,16.07139,15.4251,15.07193,8658170821574590566,0.003148631
12.1588943653677,-0.756460268368872,51081.3162672,24.29237,23.10283,21.70775,20.61002,19.69951,8658170821574590567,0.08002143
12.1595141898149,-0.719515847822625,51081.3162672,22.00492,24.62294,25.0214,25.14705,22.1727,8658170821574590646,0.732511
12.1600724866041,-0.748999293217412,51081.3162672,22.92772,21.97251,21.32061,21.30321,21.47845,8658170821574590886,0.1683367
12.15909961669,-0.814876903196683,51081.3162672,22.45572,22.61885,20.67785,19.86582,19.39299,8658170821574591044,0.0807405
12.1599487824748,-0.809446647722293,51081.3162672,23.20558,22.65704,21.5228,21.07057,20.67416,8658170821574591045,0.1554785
12.1482847321023,-0.758727185999965,51081.3162672,26.93697,22.98322,21.73159,22.08947,21.41955,8658170821574591033,0.3692157
12.1492234042028,-0.720576442386794,51081.3162672,22.94147,21.7068,20.8786,20.62499,20.03952,8658170821574590859,0.1311036
12.1664646062535,-0.758075921082074,51081.3162672,23.25803,20.19372,18.75637,17.3771,16.60192,8658170821574590570,0.005895178
12.1653865240831,-0.774347830097847,51081.3162672,23.41848,22.88097,21.70676,21.68622,23.65909,8658170821574591050,0.2256283
12.1626803193996,-0.775381140420473,51081.3162672,21.10885,19.93476,19.51833,19.38099,19.1886,8658170821574590568,0.02288587
12.1615888416588,-0.733453009030731,51081.3162672,22.40064,22.28195,21.51186,21.39847,21.53297,8658170821574590887,0.1409789
12.1626207115933,-0.792367546668511,51081.3162672,21.99507,24.12832,23.07809,21.68523,21.20574,8658170821574591135,0.1654109
12.1550890911651,-0.800086355070367,51081.3162672,23.62282,24.16816,25.38037,23.6193,20.47557,8658170821574591164,0.7776468
12.1552181221821,-0.743095452634634,51081.3162672,22.18552,20.09774,19.31035,18.87005,18.46358,8658170821574590875,0.01933983
12.1510943144738,-0.760856336131722,51081.3162672,22.37934,22.41135,21.30865,20.60203,20.17766,8658170821574590864,0.07684495
12.1516983663404,-0.778641956218448,51081.3162672,21.43251,25.56472,24.805,23.89239,23.50045,8658170821574590642,0.865167
12.1478627719634,-0.724660575121473,51081.3162672,25.59069,22.29876,23.35166,21.95807,23.57937,8658170821574591171,0.4358487
12.1650358002424,-0.779716361540218,51081.3162672,26.22211,22.44487,22.4364,22.07006,21.05837,8658170821574590650,0.2349056
12.1653052262138,-0.778578518023672,51081.3162672,19.89332,25.77025,21.79611,26.40059,24.8755,8658170821574590649,1.325744
12.165288684652,-0.781291577277415,51081.3162672,27.23037,22.36596,20.96546,19.84084,19.62793,8658170821574590648,0.06051905
12.1648989700238,-0.800746889895808,51081.3162672,23.68599,22.87032,23.47492,23.74871,22.30481,8658170821574590891,0.8868565
