ra,dec,mjd_g,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,modelMagErr_g
12.1781547733004,-0.821754356009391,51075.3352014,24.56287,24.57822,22.61385,23.25545,21.67733,8658170687899894346,0.5632083,0.7137904
12.168014247272,-0.818976508077668,51075.3352014,-9999,-9999,20.89747,-9999,-9999,8658170687899894331,-9999,-9999
12.1754724119787,-0.819435230186933,51075.3352014,23.93441,-9999,21.41019,21.28715,20.86288,8658170687899894147,0.1234404,-9999
12.2327124242344,-0.819360596031373,51075.335616,-9999,-9999,22.08598,21.24543,20.85719,8658170687899959801,0.1484908,-9999
12.2242210467571,-0.820399419445611,51075.335616,24.84403,24.22785,25.08688,25.69536,20.3363,8658170687899959993,0.6282003,0.7831846
12.2298923870494,-0.820470937876513,51075.335616,24.13324,24.48515,24.36377,22.08541,23.47521,8658170687899959933,0.252673,0.7644255
12.1500260226103,-0.744642678485146,51081.3187537,22.81019,21.886,20.81069,20.54115,20.25538,8658170821574590862,0.08608391,0.1375981
12.1525115754388,-0.799558001728664,51081.3187537,23.80079,20.29969,18.79337,17.79609,17.27489,8658170821574590592,0.00773549,0.02589033
12.1648989700238,-0.800746889895808,51081.3187537,23.68599,22.87032,23.47492,23.74871,22.30481,8658170821574590891,0.8868565,0.2406178
12.156535834629,-0.798926638209002,51081.3187537,23.00611,22.29085,21.97147,21.36772,21.88391,8658170821574590876,0.1327251,0.1433699
12.1535947808375,-0.76130523336512,51081.3187537,23.12774,22.04305,20.58493,19.87582,19.42985,8658170821574590872,0.03352918,0.110206
12.1507879887014,-0.72463861985226,51081.3187537,26.04941,22.85094,21.38538,21.05265,21.07409,8658170821574591037,0.1186081,0.2888304
12.1510943144738,-0.760856336131722,51081.3187537,22.37934,22.41135,21.30865,20.60203,20.17766,8658170821574590864,0.07684495,0.1859045
12.1482847321023,-0.758727185999965,51081.3187537,26.93697,22.98322,21.73159,22.08947,21.41955,8658170821574591033,0.3692157,0.3849047
12.1492234042028,-0.720576442386794,51081.3187537,22.94147,21.7068,20.8786,20.62499,20.03952,8658170821574590859,0.1311036,0.1662922
12.1498217562656,-0.734664125449137,51081.3187537,24.27607,24.28915,22.12848,21.92778,21.85419,8658170821574591035,0.2071248,0.71758
12.1599487824748,-0.809446647722293,51081.3187537,23.20558,22.65704,21.5228,21.07057,20.67416,8658170821574591045,0.1554785,0.2994296
12.1681021166527,-0.763557790123793,51081.3187537,22.57768,21.91385,21.11816,21.08251,20.72606,8658170821574590895,0.1035579,0.1065764
12.1595141898149,-0.719515847822625,51081.3187537,22.00492,24.62294,25.0214,25.14705,22.1727,8658170821574590646,0.732511,0.8199173
12.1636710272914,-0.730188911621901,51081.3187537,23.67043,22.45768,21.29968,20.66989,20.94642,8658170821574591047,0.1336402,0.3188569
12.1672611703561,-0.733015338617823,51081.3187537,21.82534,22.06986,21.30167,20.94609,20.80923,8658170821574590894,0.1374308,0.1821822
12.15909961669,-0.814876903196683,51081.3187537,22.45572,22.61885,20.67785,19.86582,19.39299,8658170821574591044,0.0807405,0.4431531
12.1630335618142,-0.720485756096648,51081.3187537,25.05442,22.65117,21.09422,20.41335,19.79584,8658170821574591046,0.06999613,0.2484162
12.1615888416588,-0.733453009030731,51081.3187537,22.40064,22.28195,21.51186,21.39847,21.53297,8658170821574590887,0.1409789,0.1537969
12.1677526773706,-0.761114367040351,51081.3187537,23.71663,22.78489,21.18999,20.41335,19.72236,8658170821574590571,0.05265472,0.2132781
12.1626207115933,-0.792367546668511,51081.3187537,21.99507,24.12832,23.07809,21.68523,21.20574,8658170821574591135,0.1654109,0.6182787
12.1678708322548,-0.819065084637297,51081.3187537,23.46331,23.30259,22.00213,21.30719,21.33687,8658170821574591051,0.1749681,0.4720816
12.1600724866041,-0.748999293217412,51081.3187537,22.92772,21.97251,21.32061,21.30321,21.47845,8658170821574590886,0.1683367,0.1448831
12.1634733139041,-0.718114736714105,51081.3187537,22.08947,21.39968,20.1052,19.25401,18.84223,8658170821574590889,0.03519093,0.1140703
12.1682226175182,-0.737221388248613,51081.3187537,21.39173,21.46953,20.63189,19.95877,19.50653,8658170821574590897,0.09058394,0.1669772
12.1634284612157,-0.745554850359797,51081.3187537,21.02309,20.2517,19.28835,18.91505,18.74934,8658170821574590888,0.02731909,0.04293298
12.1575546613807,-0.774485269478565,51081.3187537,22.46729,22.87322,22.96028,21.5816,20.77393,8658170821574590878,0.1828448,0.2736979
12.1596136294413,-0.754163415035095,51081.3187537,20.13122,17.43384,16.07139,15.4251,15.07193,8658170821574590566,0.003148631,0.004783151
12.1626803193996,-0.775381140420473,51081.3187537,21.10885,19.93476,19.51833,19.38099,19.1886,8658170821574590568,0.02288587,0.02047431
12.1669718772145,-0.770805536865841,51081.3187537,21.4355,20.69952,19.99623,19.63792,19.39,8658170821574590893,0.0471145,0.05762911
12.160298146997,-0.81314256447713,51081.3187537,22.49329,21.36376,20.96646,20.79857,20.53296,8658170821574590885,0.08264752,0.06540113
12.1575477588833,-0.729886137573238,51081.3187537,24.20158,23.66932,21.63024,21.48368,20.7997,8658170821574591043,0.2473833,0.8101742
12.1527315717919,-0.794511912340995,51081.3187537,22.35994,22.88194,21.8794,21.42821,20.42876,8658170821574591039,0.1566594,0.2695517
12.1534992687196,-0.767365135742655,51081.3187537,24.81059,22.81697,21.31164,20.86636,20.34466,8658170821574591041,0.0887704,0.2444781
12.1552181221821,-0.743095452634634,51081.3187537,22.18552,20.09774,19.31035,18.87005,18.46358,8658170821574590875,0.01933983,0.02823596
12.157241664712,-0.761437318887421,51081.3187537,26.64053,24.38904,26.58084,25.7504,19.9396,8658170821574591165,0.7415397,1.092463
12.152876986354,-0.791930768348033,51081.3187537,22.80832,21.9586,20.60791,19.38498,18.69639,8658170821574590610,0.02320428,0.1014474
12.1543486181703,-0.776864054062562,51081.3187537,23.61328,23.24276,22.19052,21.38954,20.97175,8658170821574591130,0.1580629,0.3876366
12.1527144584396,-0.728625227659049,51081.3187537,24.64032,23.40157,21.40132,20.46527,19.74322,8658170821574591040,0.05487516,0.3622361
12.1527147479649,-0.819288123554607,51081.3187537,22.73144,25.04297,22.55496,21.28435,21.41265,8658170821574591129,0.1599123,1.18337
12.1535858937597,-0.746663843619618,51081.3187537,23.17253,22.7069,21.73953,21.764,21.24716,8658170821574590874,0.201189,0.2276977
12.1664646062535,-0.758075921082074,51081.3187537,23.25803,20.19372,18.75637,17.3771,16.60192,8658170821574590570,0.005895178,0.02403046
12.1529559218901,-0.773730346508722,51081.3187537,22.26852,21.59618,20.58493,20.27951,19.9495,8658170821574590868,0.06344654,0.09897956
12.1874640199059,-0.736106761903598,51081.3191681,22.03149,21.77353,20.14219,18.98804,18.55651,8658170821574656485,0.04398169,0.2541378
12.236668313054,-0.741453330077854,51081.3191681,26.36404,22.88194,21.37044,20.68087,20.20522,8658170821574656526,0.09109448,0.3115006
12.2262155867481,-0.816422413052348,51081.3191681,23.52047,20.76348,19.24435,18.37808,17.85282,8658170821574656127,0.01095631,0.03782389
12.2205750574659,-0.753939064022779,51081.3191681,23.36049,22.1284,21.61333,22.26409,21.73585,8658170821574656305,0.4719259,0.1988591
12.1891072590261,-0.822084878466585,51081.3191681,22.04525,24.49,25.70094,25.09628,23.1197,8658170821574656151,0.7817924,0.7752576
12.1816393479516,-0.754394432870817,51081.3191681,26.51288,23.34995,21.59941,21.69804,20.73277,8658170821574656242,0.21323,0.431706
12.2236150351677,-0.786714702590739,51081.3191681,23.4434,23.03791,21.79809,21.74137,22.13745,8658170821574656512,0.1815884,0.2766257
12.2321106100362,-0.730774333527863,51081.3191681,26.10853,23.45005,22.52491,21.8857,21.69418,8658170821574656644,0.2003384,0.3811791
12.183508276827,-0.739591120900798,51081.3191681,23.6754,21.83327,20.88759,20.52817,19.82363,8658170821574656245,0.09597289,0.1476493
12.2225841842481,-0.725575907419449,51081.3191681,23.72898,20.60658,18.96437,18.24508,17.80583,8658170821574656308,0.01925314,0.07302894
12.1872299605961,-0.744036639249179,51081.3191681,23.03139,22.62669,21.8338,21.6448,21.24806,8658170821574656481,0.240915,0.2764404
12.1908419997955,-0.805924529349371,51081.3191681,20.98219,20.58658,20.84764,20.25254,20.84631,8658170821574656251,0.2392618,0.1509086
12.2292722099039,-0.820221077581178,51081.3191681,22.73426,25.75791,23.3699,21.10938,20.93515,8658170821574656642,0.154425,1.193109
12.1769254819375,-0.733073653566515,51081.3191681,23.89498,21.73171,20.28013,19.76887,19.36409,8658170821574656230,0.06035606,0.1668762
12.1877967243095,-0.794374264390103,51081.3191681,22.47789,24.2678,22.79323,21.4817,20.64429,8658170821574656625,0.1623866,0.7993991
12.1907831932521,-0.726729523299238,51081.3191681,23.264,25.70843,22.59849,21.47774,20.61725,8658170821574656627,0.1943573,1.099689
12.2274013141978,-0.73926885824836,51081.3191681,25.99208,24.24739,24.35532,21.86415,23.46956,8658170821574656639,0.1953964,0.6863917
12.2060321501313,-0.754156645247656,51081.3191681,22.03149,18.86683,17.46839,16.7131,16.24692,8658170821574656077,0.004530135,0.009937664
12.2431816382268,-0.734132599881434,51081.3191681,26.51382,22.55998,21.72166,20.99988,20.42681,8658170821574656531,0.1254024,0.241781
12.2003308891867,-0.800285832307456,51081.3191681,24.77208,22.62179,21.74748,21.47378,20.18061,8658170821574656490,0.1920575,0.2537898
12.1797109117622,-0.717196673254235,51081.3191681,25.50956,24.44183,22.04461,21.02876,21.20845,8658170821574656469,0.1205043,0.9726855
12.2329274994165,-0.819489942370351,51081.3191681,22.59392,23.50083,21.5636,21.25653,20.53975,8658170821574656519,0.1457555,0.5053413
12.2297677941362,-0.732819958056863,51081.3191681,23.32894,23.93234,22.51035,22.78409,21.49869,8658170821574656514,0.4262944,0.5551445
12.1754990387697,-0.819405789270019,51081.3191681,25.42753,22.08375,21.14211,20.65093,20.35935,8658170821574656226,0.09681718,0.1652019
12.246523579715,-0.767080206422533,51081.3191681,23.6874,21.79743,21.04731,21.54008,20.70494,8658170821574656335,0.1646097,0.1011416
12.2448852559735,-0.801528966531332,51081.3191681,25.6853,23.67714,21.89228,21.16807,21.45978,8658170821574656532,0.1204593,0.5243897
12.2010643529229,-0.766993573644684,51081.3191681,24.08893,22.78683,21.70974,22.00001,21.83839,8658170821574656491,0.3099412,0.2965835
12.1949772641138,-0.733223720419681,51081.3191681,23.81811,23.89704,22.75032,21.47774,21.50289,8658170821574656630,0.1530997,0.5859903
12.2044623896409,-0.72900910799766,51081.3191681,25.67933,22.09765,21.89822,21.332,21.46318,8658170821574656278,0.1320626,0.1267941
12.2169015508026,-0.809101316681577,51081.3191681,20.69073,19.49181,19.59532,19.74188,19.86628,8658170821574656081,0.03041416,0.01506793
12.1729287974951,-0.758242168062448,51081.3191681,26.46699,22.15121,21.17702,21.99319,22.77628,8658170821574656221,0.4573444,0.2477443
12.1779711727457,-0.821885910323332,51081.3191681,22.7022,24.78569,22.35829,21.41235,20.8539,8658170821574656618,0.185818,1.215795
12.2103884733347,-0.81802062754894,51081.3191681,25.8878,22.52166,21.0004,20.03472,19.56227,8658170821574656289,0.04783804,0.2098681
12.2026165158982,-0.761029173542335,51081.3191681,25.37757,22.17996,21.29968,20.82848,20.54267,8658170821574656272,0.09664431,0.1559435
12.2100345621492,-0.78134393169432,51081.3191681,21.56767,21.02027,20.50399,20.23656,20.4434,8658170821574656162,0.06339386,0.06257804
12.2127331675742,-0.799976668268843,51081.3191681,24.3321,23.16548,21.82884,21.06559,20.74427,8658170821574656505,0.1086564,0.3385984
12.2146127180707,-0.753916254254223,51081.3191681,23.07356,22.436,22.04165,21.42523,21.52631,8658170821574656297,0.1552304,0.1835727
12.1684916186109,-0.815632927297636,51081.3191681,23.16291,22.51576,21.34752,20.8853,21.09715,8658170821574656218,0.1008864,0.2060744
12.1854290704633,-0.778037846582479,51081.3191681,24.27058,22.88677,22.25539,22.23049,23.54457,8658170821574656479,0.3037587,0.2568664
12.2043089573359,-0.795839535549279,51081.3191681,25.50356,23.39422,22.02782,21.41235,21.41438,8658170821574656494,0.1585886,0.4392591
12.2032548151231,-0.807972373497877,51081.3191681,23.91668,22.61003,20.9415,19.98076,19.52744,8658170821574656492,0.06465878,0.3217225
12.2132700572233,-0.806899307187725,51081.3191681,22.88907,22.4951,22.59753,21.32307,23.43168,8658170821574656291,0.1242868,0.1710294
12.1860298693979,-0.815324945514702,51081.3191681,22.08652,21.85616,21.43021,21.67143,21.01565,8658170821574656248,0.1659298,0.09442587
12.2247558718549,-0.72740912535246,51081.3191681,22.69747,22.02418,21.66105,21.54701,21.13844,8658170821574656312,0.1969763,0.1441276
12.2109385413658,-0.71976369926621,51081.3191681,22.37546,22.17798,22.41592,21.51535,21.69652,8658170821574656290,0.1774522,0.1529606
12.2111295089242,-0.767285113853133,51081.3191681,23.25632,23.76374,21.82487,21.55393,20.47654,8658170821574656502,0.1831232,0.5950625
12.2085599614099,-0.765256779288373,51081.3191681,22.66813,23.79492,21.83876,21.29726,22.17485,8658170821574656498,0.1378455,0.5800446
12.2082111306394,-0.744732713506466,51081.3191681,20.28513,17.85784,16.68039,16.2411,15.93693,8658170821574656079,0.003827513,0.005960867
12.2029651363096,-0.749035963674296,51081.3191681,23.73852,21.5902,19.99623,18.73006,18.01378,8658170821574656141,0.01415287,0.07612509
12.2085173462175,-0.761687831716448,51081.3191681,18.27248,16.50584,15.85239,15.6221,15.47093,8658170821574656017,0.003269799,0.003615107
12.2099806579805,-0.729839645194448,51081.3191681,22,21.35078,20.55595,20.49123,19.90196,8658170821574656287,0.07334638,0.07621244
12.1895893587504,-0.752715772045963,51081.3191681,23.87159,22.31458,21.48996,21.36475,20.88421,8658170821574656250,0.1708452,0.1897917
12.2089026762447,-0.75510536012485,51081.3191681,22.70975,21.73071,20.87061,20.59405,21.15671,8658170821574656282,0.1027195,0.1361403
12.1786345614453,-0.810821031398687,51081.3191681,26.37879,22.86935,21.95663,22.42976,20.93703,8658170821574656467,0.4310726,0.3021223
12.2099651310451,-0.806439383200807,51081.3191681,23.02599,23.29141,22.24164,22.41464,22.26556,8658170821574656500,0.317681,0.3315902
12.2160801117751,-0.770389294088957,51081.3191681,23.84952,22.15022,21.04232,20.68785,20.0741,8658170821574656300,0.08073575,0.1442677
12.2171366553733,-0.726042559348104,51081.3191681,24.58672,22.59924,20.83067,20.10567,19.81073,8658170821574656507,0.05703503,0.2530661
12.2037926514443,-0.78851395695096,51081.3191681,24.28867,22.72545,21.19797,19.94378,19.34316,8658170821574656493,0.04399665,0.2501558
12.2172720718147,-0.804688369712304,51081.3191681,24.81557,22.68541,21.63819,21.34292,22.74491,8658170821574656508,0.1971299,0.3094506
12.209859908386,-0.768451263212589,51081.3191681,23.46093,23.52784,22.59076,21.82393,21.14667,8658170821574656636,0.1960405,0.4192589
12.2198216092204,-0.786489514731386,51081.3191681,22.9213,22.52854,21.09521,20.18061,19.50952,8658170821574656304,0.05110618,0.1968994
12.1704546330624,-0.752288584281234,51081.3191681,22.97615,20.92336,19.36334,18.16509,17.51187,8658170821574656120,0.009569163,0.04305914
12.2177026965255,-0.722951005195481,51081.3191681,23.0816,21.22001,19.73529,19.07203,18.63245,8658170821574656125,0.01809726,0.05543475
12.1880918316387,-0.728849686230625,51081.3191681,21.78478,21.01527,20.06121,19.64592,19.20057,8658170821574656249,0.04421286,0.07145558
12.1774452182794,-0.781325005660583,51081.3191681,23.91842,23.04939,22.02288,21.58951,22.01673,8658170821574656465,0.1537378,0.2683368
12.2215000609161,-0.799232025727789,51081.3191681,24.76299,23.14179,22.13636,20.67089,19.72733,8658170821574656511,0.06765096,0.2928794
