ra,dec,mjd_i,psfMag_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_i,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_z
12.193563046179,-0.770008284357602,51819.3878788,21.01881,22.06493,21.5989,21.01773,20.28152,19.8156,0.06564704,0.51482,0.1147996,0.09891842,0.1723004
12.193558455598,-0.769987257890373,52552.3447596,21.06921,22.45744,21.76156,20.91261,20.29413,19.58346,0.05749112,0.581237,0.1141495,0.07444138,0.1211898
12.193579696563,-0.76996957603578,52558.3530531,20.93264,22.33616,22.25725,21.63071,20.64045,20.02943,0.05817427,0.3932424,0.1227777,0.1068388,0.1272294
12.1936116256915,-0.769991381057822,52577.2404147,20.95042,22.8166,22.01154,21.17494,20.44365,20.03072,0.06336409,0.6905257,0.1136556,0.08351895,0.1651314
12.193571232555,-0.769975829648296,52586.244109,21.00476,21.67492,21.4694,20.64572,20.12156,19.39121,0.07402092,0.3223822,0.09371952,0.07930351,0.156514
12.1936100112037,-0.769990182368512,52931.254564,20.97208,22.45903,22.19559,21.57642,20.66998,20.26342,0.06672611,0.4793872,0.1299064,0.1057246,0.1817671
12.1935510710346,-0.770012885280114,52935.2515118,21.09405,22.01645,21.21361,20.54775,20.13524,19.17462,0.07743651,0.5653576,0.08909194,0.08049401,0.1328809
12.1935772692812,-0.7699812401035,52963.1747175,21.1184,22.6613,22.39103,21.48484,20.67487,20.01753,0.05203523,0.4222393,0.1240202,0.07826684,0.1105397
12.1935634290779,-0.769983775766087,53352.1457481,21.22986,22.27866,21.81203,21.02211,20.50836,19.75803,0.06876414,0.4724508,0.1088637,0.07359534,0.1515757
12.1935394309562,-0.770043327388726,53655.28089453,21.05863,21.80992,21.48588,20.97558,20.45067,19.84148,0.09585865,0.5195991,0.1557547,0.1372421,0.2004484
12.193578589243,-0.769979830148906,53669.26518442,21.23594,22.40121,22.24303,21.55225,20.91102,20.10052,0.06456508,0.3412508,0.09177411,0.08090631,0.1216505
12.1935155568471,-0.769961947681504,53674.24964098,21.02491,24.74258,21.45293,20.77427,20.23099,19.30568,0.06754889,2.87765,0.09290023,0.08289918,0.1101105
12.1935609422877,-0.769972066393651,53697.25942276,21.2286,22.14472,21.51768,20.89176,20.31584,19.6063,0.06907765,0.6381118,0.1241759,0.09367674,0.1352563
12.1935394887394,-0.770043678769327,53700.25832294,20.94402,22.5799,21.87575,20.98059,20.34305,19.93174,0.0702055,0.8378505,0.1284231,0.09042726,0.1889582
12.1935953131215,-0.770026417860125,53705.24519446,21.20845,22.36405,22.44154,21.45668,20.92994,20.27288,0.06804118,0.4436471,0.1532921,0.08572365,0.1483123
12.1935821103208,-0.770005608939576,53975.32998955,21.14485,21.94085,21.06767,20.40277,19.82486,19.15773,0.0660182,0.6157924,0.08256746,0.07049242,0.1420133
12.193579557921,-0.770001849470861,53990.34299049,20.91248,22.86471,21.44596,20.9322,20.10927,19.48447,0.08878767,1.929653,0.2619849,0.1655283,0.1616239
