ra,dec,mjd_i,u,g,r,i,z,objID,err_i,thingID
12.1935701483727,-0.770042645238032,51081.31667745,21.75927,21.19246,20.70415,19.94413,19.34305,1237646010551632134,0.06629809,77759292
12.1950939439868,-0.764287594825808,52522.34884536,22.15461,22.22093,20.48698,19.92493,19.43423,1237659754449142211,0.05425901,77759309
12.2009659783405,-0.773272233183297,52577.23916663,23.903,20.79642,19.4503,18.88034,18.55353,1237660222616633510,0.01376406,77759448
12.2026530459696,-0.76101571666161,52577.23916663,24.12306,22.35831,21.39371,20.81919,20.52089,1237660222616633937,0.08910476,77759456
12.1915513843925,-0.762413731224788,52522.34884536,22.84783,20.571,19.15794,18.44887,18.05918,1237659754449141898,0.01191731,77759278
12.1951060914905,-0.764316376887668,52935.25150889,24.10642,22.26293,20.61634,19.90328,19.4065,1237663525449892329,0.04774133,77759309
12.185511370451,-0.77803957610149,52963.17471733,22.82232,22.8391,21.91402,22.12156,21.58733,1237663783128990205,0.264516,77759373
12.1915475906853,-0.762421939042548,51819.38787794,22.35896,20.52063,19.13752,18.43988,18.05268,1237653011368116342,0.01067939,77759278
12.2026574864019,-0.760956289636722,52931.25456227,24.25874,22.58481,21.44525,20.96817,20.36538,1237663478202040850,0.08174118,77759456
12.205793455421,-0.775694080025738,52577.23916663,22.32031,21.43345,20.06164,19.53624,19.30934,1237660222616633945,0.03820245,77759457
12.2027022992317,-0.761018697402539,54424.20414964,26.47993,22.5875,21.13026,20.52283,20.45639,1237676324423008630,0.1159377,77759456
12.2009414799557,-0.773283268496527,51081.31667745,26.52613,20.82919,19.44675,18.8691,18.55713,1237646010551632018,0.01480111,77759448
12.2026083826411,-0.760989342146167,51819.38787794,22.04855,22.49769,21.11038,20.90665,20.23764,1237653011368116458,0.1029201,77759456
12.1811537406448,-0.779252177817387,52577.23916663,25.50311,22.80906,21.78123,21.31658,21.16348,1237660222616633888,0.1148294,77759369
12.1933222247593,-0.778498789667447,51081.31667745,23.75291,23.54323,22.80219,21.74378,21.36237,1237646010551632035,0.1823368,77759298
12.1915358025042,-0.762419667757569,52586.24410767,23.11446,20.58465,19.16188,18.45733,18.05796,1237660355752755347,0.01134077,77759278
12.1935638513556,-0.770012461723379,52959.19494393,22.55285,22.80998,21.78938,21.20479,20.3274,1237663714409054756,0.07089116,77759292
12.1915386174478,-0.762403571196145,53352.1457467599,22.74633,20.61928,19.16314,18.43779,18.07584,1237667171857727627,0.01041235,77759278
12.1845624504858,-0.761009606997268,52558.3518048,23.94099,24.53548,22.23683,21.6333,22.36824,1237660025045975717,0.1465303,77759387
12.1915380127054,-0.762403755243428,52931.25456227,22.35958,20.55388,19.14664,18.4446,18.0443,1237663478202040453,0.01062582,77759278
12.2010038733844,-0.766937997109994,52959.19494393,23.75963,22.59046,21.83301,21.91911,21.34925,1237663714409054783,0.1348827,77759454
12.1935806382688,-0.76998654954112,54424.20414964,21.2756,21.66333,20.61791,20.10819,19.30777,1237676324423008619,0.1186619,77759292
12.2057809161889,-0.77566926593336,52910.32468387,23.3596,21.42793,20.21763,19.68184,19.33322,1237663276322521388,0.03542132,77759457
12.1811476053531,-0.779210893356283,52931.25456227,25.23261,22.99463,21.67485,21.35408,21.50506,1237663478202040801,0.1064058,77759369
12.1846994498566,-0.761089238565045,52959.19494393,23.06963,23.83924,22.05886,21.17725,20.42437,1237663714409055061,0.1156374,77759387
12.2010243806171,-0.76697522083873,51819.38787794,23.48035,23.05303,21.77873,21.72684,21.48516,1237653011368116769,0.1525003,77759454
12.1929843253045,-0.770274459440667,52931.25456227,24.86395,22.81289,21.69849,22.66166,21.61839,1237663478202040832,0.3928978,77759293
12.2026306538799,-0.761054289892986,52935.25150889,22.70715,22.56799,21.54478,21.03611,20.48387,1237663525449892347,0.08818443,77759456
12.1811557375907,-0.779301435135408,54424.20414964,24.96645,24.08977,21.51353,21.31065,21.11378,1237676324423008600,0.1707144,77759369
12.201022954055,-0.766972105740319,52522.34884536,24.87881,22.50557,21.69432,21.79276,21.10449,1237659754449142221,0.2004914,77759454
12.2058013184858,-0.775713481617306,52552.3435115,21.83093,21.13195,19.80993,19.38459,18.92661,1237659904789643549,0.03837165,77759457
12.1915275629676,-0.762400080030747,52558.3518048,24.48018,20.61217,19.17051,18.44757,18.02864,1237660025045975156,0.01050184,77759278
12.2009799051422,-0.766957194071921,52558.3518048,22.70744,22.40866,21.54496,21.43899,20.80748,1237660025045975445,0.1459811,77759454
12.200948755427,-0.773292020148001,52586.24410767,23.6126,20.83433,19.47859,18.86106,18.57139,1237660355752755718,0.01480453,77759448
12.2026432424598,-0.761021452834342,52959.19494393,23.30004,22.55828,21.37704,20.92175,20.35318,1237663714409054788,0.06776319,77759456
12.2057704333166,-0.775668628339567,52959.19494393,21.84118,21.09292,19.78981,19.31542,18.91833,1237663714409054795,0.03505253,77759457
12.1950980276639,-0.764272005622041,52959.19494393,24.42933,22.12012,20.54388,19.85134,19.43488,1237663714409054763,0.03658504,77759309
12.1811466651656,-0.779219198314721,52959.19494393,24.11746,22.62281,21.76819,21.52473,21.02332,1237663714409054713,0.09302525,77759369
12.1930151932347,-0.775821756343898,52963.17471733,26.6515,23.8078,23.24118,21.30709,20.67883,1237663783128990924,0.1905084,77759301
12.1950882925345,-0.764253146509455,53352.1457467599,24.46351,22.1816,20.81395,20.03983,19.58439,1237667171857727985,0.0408848,77759309
12.2057807521353,-0.775644266157207,54424.20414964,26.3586,21.26916,20.01929,19.709,19.21485,1237676324423008458,0.06099876,77759457
12.200948720418,-0.773287471498822,52552.3435115,25.30144,20.82941,19.48489,18.91967,18.55054,1237659904789643536,0.01311389,77759448
12.2057648999269,-0.775684909204403,52558.3518048,25.46913,21.5854,20.12106,19.59609,19.31406,1237660025045975458,0.03775389,77759457
12.1951308591654,-0.764242512889615,52577.23916663,26.01889,22.18303,20.65885,19.91474,19.37341,1237660222616633921,0.04406271,77759309
12.1852861076808,-0.778061534716049,54424.20414964,26.36089,22.92201,22.64267,20.82817,21.50277,1237676324423008805,0.1670721,77181638
12.2009516954163,-0.773301022735764,51819.38787794,22.87521,20.70358,19.45999,18.87506,18.50078,1237653011368116345,0.01412447,77759448
12.1935730791698,-0.769971861441486,52558.3518048,22.3145,22.24404,21.58716,20.63114,20.00735,1237660025045975426,0.06164547,77759292
12.1847350779935,-0.760992937360066,52577.23916663,23.74372,24.27771,22.34896,21.61492,21.02106,1237660222616634121,0.1626886,77759387
12.1935845678398,-0.770004684471313,52931.25456227,22.46719,22.29894,21.7385,20.8508,20.43561,1237663478202040831,0.07196373,77759292
12.2057913717187,-0.775660646762757,53352.1457467599,22.25677,21.40151,20.11993,19.6861,19.30553,1237667171857728016,0.04842999,77759457
12.1811339862364,-0.779224919524276,51819.38746331,23.11266,22.84747,21.46331,21.02031,20.47272,1237653011368051353,0.1152677,77759369
12.1853854427021,-0.778025466592051,52558.3518048,22.16106,22.61235,21.90607,21.67765,23.8322,1237660025045975406,0.1932903,77759373
12.1935731019665,-0.769980213592133,52586.24410767,21.72761,21.4708,20.65679,20.12405,19.42412,1237660355752755699,0.08018738,77759292
12.2010236275542,-0.76696146983634,52931.25456227,22.93185,22.63763,22.07961,21.55202,22.1462,1237663478202040848,0.121295,77759454
