ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,flags,thingID
12.2100303707,-0.781348809280749,51081.31667745,21.57062,20.99001,20.50301,20.2124,20.46678,1237646010551632041,0.05982336,2416187540224,77759927
12.2026142446109,-0.76102858203441,51081.31667745,25.69898,22.17241,21.28705,20.78223,20.46297,1237646010551632149,0.0900339,68987912960,77759456
12.2089008013622,-0.755108354492849,51081.31667745,22.94062,21.63345,20.75628,20.45261,21.08634,1237646010551632159,0.09525108,68987912448,77759459
12.2091125690304,-0.750561309081604,51081.31667745,23.2182,23.0693,21.1508,20.45849,19.88698,1237646010551632161,0.0823246,2381895041352,77759934
12.2146165257006,-0.753919005911205,51081.31667745,23.35703,22.42876,22.04148,21.38314,21.43375,1237646010551632169,0.1427557,2450547278080,77759938
12.2160736157362,-0.77039411701712,51081.31667745,24.05984,22.13397,21.05584,20.69031,20.07242,1237646010551632177,0.07752685,68987912960,77759939
12.2037890102384,-0.788521151105387,51081.31667745,24.4053,22.69647,21.1868,19.92451,19.34064,1237646010551632394,0.04161694,68987912448,77759463
12.2085599360207,-0.76525822740656,51081.31667745,22.62529,23.82862,21.84946,21.2681,22.46892,1237646010551632400,0.13006,281709320864000,77759464
12.2098660392028,-0.768445946196151,51081.31667745,23.02532,23.55964,22.24346,21.65415,21.03553,1237646010551632404,0.2097818,281709388108104,77759952
12.1895844743643,-0.752719020409623,51081.31667745,23.99373,22.40564,21.57484,21.44,21.19692,1237646010551632124,0.1610828,2416791654728,77759288
12.1935701483727,-0.770042645238032,51081.31667745,21.75927,21.19246,20.70415,19.94413,19.34305,1237646010551632134,0.06629809,2450547278080,77759292
12.1951077256408,-0.764297903812185,51081.31667745,25.71284,21.84109,20.43816,19.68906,19.17175,1237646010551632137,0.04606465,68987912448,77759309
12.2010623680636,-0.766997984006289,51081.31667745,24.30854,22.72146,21.62584,21.99656,21.96548,1237646010551632144,0.3044941,281543964622848,77759454
12.1825985726181,-0.793341122257529,51081.31667745,23.53716,23.08049,22.04411,21.58242,20.92369,1237646010551632373,0.1626498,281709320864000,77759383
12.1877831309588,-0.794375693484376,51081.31667745,22.53557,24.20967,22.87481,21.446,20.60525,1237646010551632529,0.1543565,281543964623616,77759297
12.1775822707336,-0.748845998187407,51081.31667745,22.86584,22.03027,21.35402,21.03431,20.74067,1237646010551632104,0.1122442,2278815830344,77759364
12.1816243114305,-0.754413997636666,51081.31667745,24.52585,25.26609,21.70065,21.81815,22.0304,1237646010551632116,0.2131438,316728336711952,77759372
