ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,thingID
12.2385557213074,-0.823801631751088,51075.33312573,22.96578,22.40576,21.32272,21.07955,22.33034,1237645876876935450,0.1284227,77759912
12.1535949466414,-0.746657867478153,51081.3162630401,23.35758,22.71859,21.75913,21.69729,21.24771,1237646010551566769,0.1834086,77759868
12.1426499683645,-0.773018753332253,51081.3162630401,22.97282,21.69473,20.30191,19.04713,18.36701,1237646010551566733,0.01729297,77759104
12.1498286501481,-0.734659189391836,51081.3162630401,24.75852,24.33729,22.1261,21.8917,21.84484,1237646010551566940,0.2028918,77759544
12.165287790923,-0.781285586403647,51081.3162630401,27.2069,22.63607,21.00197,19.83196,19.70275,1237646010551566521,0.05611632,77759881
12.1543464981943,-0.776853143399432,51081.3162630401,23.66282,23.11368,22.17319,21.32574,20.87741,1237646010551567030,0.1490603,77759870
12.1420645590421,-0.809298913409794,51081.3162630401,22.95522,23.20723,22.02044,21.44601,22.34409,1237646010551566930,0.1490245,77759103
12.1492292859736,-0.72056802660269,51081.3162630401,22.75741,21.6164,20.85599,20.57694,19.92186,1237646010551566752,0.1261824,77759707
12.1529576662455,-0.773727889026164,51081.3162630401,22.07734,21.53395,20.55704,20.22984,19.9486,1237646010551566763,0.06030267,77759865
12.142403573652,-0.796887388251929,51081.3162630401,26.79309,24.85981,23.13929,21.78218,21.24686,1237646010551567027,0.1837939,78021531
12.1529198370308,-0.819118997655632,51081.3162630401,25.35934,24.19847,22.45323,21.77201,22.85597,1237646010551566945,0.1675624,77181599
12.1528788048829,-0.791927211141865,51081.3162630401,22.87521,21.93295,20.61235,19.37188,18.71096,1237646010551566762,0.021573,77759864
12.1535151875078,-0.76736043497335,51081.3162630401,24.9678,22.74076,21.41516,20.97006,20.43028,1237646010551566947,0.09349389,77759871
12.163046806172,-0.720480374747398,51081.3162630401,23.9256,24.23392,21.04415,20.34088,19.7595,1237646010551566787,0.06731618,77759720
12.1525135075675,-0.799553153921711,51081.3162630401,24.00215,20.26493,18.78655,17.79549,17.28406,1237646010551566455,0.007317125,77759856
12.1510934995165,-0.760854620338596,51081.3162630401,22.43868,22.43593,21.29884,20.55891,20.14221,1237646010551566757,0.07247352,77759861
12.1666792847411,-0.801121946020529,51081.3162630401,23.59337,23.42263,22.74702,21.83254,21.481,1237646010551567037,0.1862013,77759899
