ra,dec,mjd_u,u,g,r,i,z,objID
12.1928635971994,-0.770304525308838,54030.28412726,24.95233,22.52135,22.22422,22.14487,21.87996,8658198111820317116
12.1928827176597,-0.770305192533478,54010.29187352,24.77774,22.4573,22.62534,23.19526,22.06984,8658197879891362081
12.1928970501178,-0.770311549608059,51081.3175104,23.6979,22.11749,21.89723,21.98539,21.18854,8658170821574656257
12.1929020945998,-0.770281092565128,52558.3538824,23.52558,22.58555,21.65258,22.0443,22.14235,8658184836068999559
12.192905343785,-0.770234088802671,52963.1755468,22.91791,22.21176,21.58603,21.38153,21.08917,8658188594152014365
12.1928942841045,-0.770333665438059,54417.26613289,23.65115,22.13108,21.82141,21.91346,21.75036,8658201028077093244
12.1929253931831,-0.770308224501201,52910.3250984,23.18761,22.46096,22.13347,21.83169,21.50425,8658188087345480282
12.1929436357719,-0.770294729086045,53669.26601371,25.77012,22.79681,21.73957,21.42945,22.42503,8658195092456473212
12.192915557384,-0.770248947254613,53676.33989798,24.75673,22.24712,21.75513,21.69416,21.03662,8658195225595478393
12.1929189746012,-0.770206785639468,53705.2460237401,23.40664,22.34188,22.30002,22.23648,22.09052,8658195728113074502
12.1929126635052,-0.770246068237392,53994.35381256,24.33706,22.14028,21.8575,21.68336,21.42021,8658197579219206378
12.1929405953672,-0.770252501433264,53996.33761701,23.74824,22.23001,22.03205,21.65064,22.11511,8658197630777229683
12.192927128676,-0.770283553941473,54008.29706459,24.70591,22.60137,22.21431,21.61149,21.80114,8658197845531296243
12.1929089697321,-0.770291414077465,54411.2235058599,22.8106,22.59004,21.952,21.46297,22.56539,8658200933607342344
12.192970547175,-0.770302980986274,52577.2412439,24.00763,23.43205,22.2661,22.31132,22.34791,8658185033639658010
12.1929709871556,-0.770301298870896,52931.2553934,24.2592,23.01949,21.93672,22.63973,22.11188,8658188289225064923
12.1929685750431,-0.770207974510621,52959.1957736,24.56543,22.67561,22.31675,22.03157,22.13015,8658188525432078860
12.192963243408,-0.770152527196145,53634.30436953,25.49507,22.74574,21.69817,23.72537,22.13306,8658194418148573489
12.1929961485781,-0.770294343526004,53638.34575567,22.64934,21.789,21.2458,21.06931,21.17605,8658194495439241562
12.1930312044745,-0.770221408306083,53640.30973553,24.36229,22.28595,22.17698,21.83306,21.64252,8658194534113214830
12.1930043518156,-0.77028361937983,53671.35071196,23.39402,22.46996,22.16756,21.52688,22.0509,8658195135395922415
12.1930058628251,-0.770279649203873,54037.2654119401,25.09159,23.23625,22.06767,21.5831,21.87685,8658198236374171998
12.1929651078112,-0.770325746590232,54357.30973599,25.34758,22.63528,22.623,21.91452,21.79868,8658200156226126106
12.1931255242995,-0.770207275378614,54407.2685394599,22.59668,22.01069,21.05177,20.57034,20.06766,8658200882074026341
