ra,dec,mjd_u,u,g,r,i,z,objID
12.1800358731325,-0.766744396119917,54418.26411852,23.8728,25.83751,22.48889,23.57851,23.48524,8658201040988996282
12.1804922517586,-0.763469049296192,54056.27202052,24.60888,26.2021,22.30216,22.94775,22.16681,8658198494073061907
12.1809961283809,-0.765552485246764,52586.2449383,25.25972,18.49272,25.72021,24.85447,22.30841,8658185166775779363
12.1829817852345,-0.764098164540857,52935.2523412,23.75797,24.91191,22.33264,24.15411,23.00621,8658188336472916616
12.1831816971336,-0.773393091925923,53671.35071196,21.38613,25.53692,25.36364,24.11295,23.68725,8658195135395922162
12.1833751142942,-0.772371765664569,52959.1957736,24.61036,24.81908,23.02505,24.6848,23.83088,8658188525432079134
12.1846021567193,-0.76102898226625,53352.1465768,25.21742,24.23249,22.83385,22.393,21.45203,8658191982880752334
12.1846042885187,-0.761077974150674,54035.35986065,26.26629,24.7956,22.83824,21.63053,20.75729,8658198206296162794
12.1846100633698,-0.760983624263111,54037.2654119401,26.4711,23.6569,23.16483,22.26241,21.05702,8658198236374172421
12.1846231473494,-0.761075253603063,54382.33973901,26.48184,24.01557,22.64824,21.51858,21.14185,8658200512681476581
12.1846233040961,-0.761028543199233,54020.29068165,24.71618,25.30431,23.03135,21.86765,22.52301,8658197974382936582
12.184644559925,-0.761021776197705,53655.28172382,26.2077,23.223,22.54123,21.72095,22.08173,8658194821877203519
12.1846536094835,-0.761104299694542,53634.30436953,27.57018,22.12009,23.93107,21.64311,21.33711,8658194418148573632
12.1846548643572,-0.761064165503522,53638.34575567,25.41433,24.60275,22.82463,22.27554,21.67908,8658194495439242037
12.1846763771423,-0.761072649863036,54056.27202052,25.82149,24.17312,22.94222,21.67494,21.10546,8658198494073062006
12.1846848368827,-0.760999244279775,53996.33761701,26.0059,23.92463,23.10808,21.6421,21.31172,8658197630777230048
12.1847259460134,-0.761080644480081,53994.35381256,23.13046,25.20705,23.0007,22.17946,20.76926,8658197579219206967
12.1848155354749,-0.764235472620877,54402.35102435,22.60224,21.48626,23.56652,24.65343,22.70031,8658200783287550132
12.1854703991198,-0.774979975492026,52910.3250984,23.95845,25.84915,23.15313,24.16928,23.67623,8658188087345480482
12.1858009028529,-0.771807327993492,54008.29706459,22.07775,26.04303,24.89894,24.36725,23.32326,8658197845531295983
12.1888320094888,-0.762083720496872,54357.30973599,22.39687,25.97898,23.98356,23.27699,22.50541,8658200156226126099
12.1889485769248,-0.772835412725784,53640.30973553,25.48539,25.61332,24.26254,24.00667,20.79548,8658194534113215283
12.1892442292171,-0.767160666182846,53685.262186111,24.83256,22.01271,25.70107,22.99815,20.26134,8658195423170462145
12.1897170179612,-0.764683816479983,53700.25915223,21.82227,25.92178,24.1717,23.37988,21.28669,8658195646510792878
12.1909586844523,-0.774709486073473,53681.3031992401,23.86401,24.22708,25.40646,22.20749,22.15285,8658195350154773055
12.1914348217189,-0.769640817343161,54422.26897658,23.1146,23.71609,24.26674,24.69714,20.20864,8658201092527424100
12.191438269259,-0.762493273686759,54059.26669252,25.3552,20.53793,19.15341,18.38465,18.11384,8658198545613062231
