ra,dec,mjd_u,u,g,r,i,z,objID
12.1846822302541,-0.76092948403363,52931.25539154,24.23199,24.07164,22.56149,21.88854,20.76796,1237663478202041042
12.1870563811771,-0.761527298566675,52963.1755465901,24.51909,25.06719,25.00692,22.6452,23.23518,1237663783128990796
12.1915275629676,-0.762400080030747,52558.35263407,24.48018,20.61217,19.17051,18.44757,18.02864,1237660025045975156
12.1915310652693,-0.762400420924592,52963.1755465901,23.19029,20.60988,19.17842,18.44557,18.05132,1237663783128989841
12.1915312811338,-0.762400472187254,52910.32509851,23.22427,20.55268,19.10714,18.42229,18.01543,1237663276322455724
12.1915314310936,-0.762405049101548,52552.34392614,23.77072,20.58889,19.17995,18.48582,18.11917,1237659904789577898
12.1915358025042,-0.762419667757569,52586.24493694,23.11446,20.58465,19.16188,18.45733,18.05796,1237660355752755347
12.1915359394577,-0.762407654229409,52959.1957731901,23.53694,20.55283,19.17515,18.44483,18.03011,1237663714409054353
12.1915373127231,-0.762408748220929,51081.31750627,22.64666,20.5367,19.16268,18.46735,18.03706,1237646010551631998
12.1915380127054,-0.762403755243428,52931.25539154,22.35958,20.55388,19.14664,18.4446,18.0443,1237663478202040453
12.1915386174478,-0.762403571196145,53352.14657602,22.74633,20.61928,19.16314,18.43779,18.07584,1237667171857727627
12.1915407365239,-0.762420732955953,52935.25233815,23.91851,20.54978,19.15638,18.47059,18.00953,1237663525449891999
12.1915438950351,-0.762411299664434,51136.16731706,22.63919,20.47032,19.14709,18.44366,18.00173,1237646646197551217
12.1915471794889,-0.762405206511125,54424.2049789,26.04063,20.52001,19.172,18.42946,18.03406,1237676324423008353
12.1915475906853,-0.762421939042548,51819.38870721,22.35896,20.52063,19.13752,18.43988,18.05268,1237653011368116342
12.1915513843925,-0.762413731224788,52522.34967462,22.84783,20.571,19.15794,18.44887,18.05918,1237659754449141898
12.1915560792385,-0.762401325429338,52577.2399959,23.63545,20.5896,19.16017,18.45182,18.12684,1237660222616633509
12.1929144169075,-0.770279493892621,52558.35263407,23.70894,22.84148,22.07201,21.99115,22.37085,1237660025045975427
12.1929982521561,-0.770295070060843,52577.2399959,24.07817,23.13985,22.16837,22.13825,21.91788,1237660222616633916
12.1951240052198,-0.760033652588261,52959.1957731901,24.46387,23.53018,23.14399,22.55986,22.36158,1237663714409055250
12.2009414799557,-0.773283268496527,51081.31750627,26.52613,20.82919,19.44675,18.8691,18.55713,1237646010551632018
12.2009416422495,-0.773281412940193,52558.35263407,23.14467,20.81943,19.46765,18.88577,18.50984,1237660025045975160
12.2009434703271,-0.773275391060107,52963.1755465901,24.09379,20.81712,19.49354,18.88639,18.51126,1237663783128989873
12.200948720418,-0.773287471498822,52552.34434077,25.30144,20.82941,19.48489,18.91967,18.55054,1237659904789643536
12.200948755427,-0.773292020148001,52586.24493694,23.6126,20.83433,19.47859,18.86106,18.57139,1237660355752755718
