ra,dec,mjd_u,u,g,r,i,z,objID,err_i
12.184695875369,-0.761032920176124,52963.1755465901,24.96876,23.7452,22.36019,21.64447,21.59863,1237663783128990605,0.1163739
12.1846070984848,-0.76123774095369,52935.25233815,23.80102,25.89601,23.21721,21.39359,21.89534,1237663525449892624,0.1706854
12.2026306551589,-0.761054275318753,52935.25233815,22.71055,22.56757,21.53649,21.02197,20.45996,1237663525449892347,0.08819434
12.2009634820411,-0.766987075490505,52935.25233815,24.25298,22.92399,21.90795,21.85741,22.119,1237663525449892345,0.1780749
12.195106092912,-0.764316360690385,52935.25233815,24.10448,22.26077,20.60959,19.89002,19.38105,1237663525449892329,0.04774196
12.1935589051456,-0.770019684225473,52935.25233815,22.04908,21.25113,20.56291,20.15852,19.19323,1237663525449892326,0.08429327
12.1929972960302,-0.77022052603332,52910.32509851,22.8554,22.13281,21.82859,21.68045,21.97053,1237663276322456186,0.1638725
12.1935973190583,-0.769947283363878,52910.32509851,23.40191,23.40167,21.84697,21.09155,20.46113,1237663276322456185,0.07144148
12.2026083986145,-0.760989322664171,51819.38870721,22.05255,22.49723,21.1048,20.89445,20.22302,1237653011368116458,0.102928
12.1935551645722,-0.770003672044286,51819.38870721,21.96478,21.54988,20.92547,20.19828,19.73151,1237653011368116438,0.06952779
12.1935701483563,-0.770042644180903,51081.31750627,21.75873,21.19008,20.69806,19.93762,19.3343,1237646010551632134,0.06629855
12.195104598132,-0.764252309925603,52910.32509851,23.77577,21.78731,20.57906,19.85777,19.34489,1237663276322456190,0.03829603
12.1951077255166,-0.764297895791277,51081.31750627,25.71185,21.84025,20.43326,19.68094,19.16447,1237646010551632137,0.0460649
12.1951143195186,-0.764291797209889,51136.16731706,22.46502,21.95244,20.378,19.67422,19.31969,1237646646197551511,0.05412283
12.1951208935091,-0.764270739470902,51819.38870721,22.18609,21.92743,20.08977,19.49448,18.94429,1237653011368116441,0.04594124
12.2009927626576,-0.767079596872913,51136.16731706,23.42856,22.68336,22.27593,21.19421,21.9644,1237646646197551759,0.1796827
12.2010243951655,-0.766975203094696,51819.38870721,23.47135,23.05128,21.7727,21.71478,21.47051,1237653011368116769,0.1525526
12.2010623680544,-0.766997983413728,51081.31750627,24.30882,22.72068,21.61932,21.9898,21.96033,1237646010551632144,0.3045907
12.2026142446001,-0.761028581342298,51081.31750627,25.69978,22.17087,21.27991,20.77481,20.45527,1237646010551632149,0.09003725
12.2085599360059,-0.765258226453722,51081.31750627,22.62652,23.82795,21.84296,21.26122,22.46644,1237646010551632400,0.130071
12.2098660392032,-0.768445946219854,51081.31750627,23.02617,23.55893,22.23702,21.64771,21.02738,1237646010551632404,0.2098155
12.20266523002,-0.761078652092723,51136.16731706,25.27564,22.36203,21.25367,21.08645,20.86416,1237646646197551524,0.1464775
12.2085351615661,-0.765295796627255,51136.16731706,23.1835,22.56772,21.62783,21.32657,22.9185,1237646646197551532,0.1965993
12.2084472302472,-0.76518255147751,51819.38870721,24.21283,22.9659,21.98764,21.60752,21.83332,1237653011368116778,0.1686664
12.2098260328708,-0.768416110473048,51819.38870721,23.2864,25.468,22.76286,21.60156,21.1984,1237653011368116922,0.1651766
12.2098155618006,-0.768441040432904,52935.25233815,23.85678,24.01441,23.13549,21.3758,21.13146,1237663525449892644,0.1290396
12.2089201646006,-0.770300509545472,52963.1755465901,24.19767,23.04611,22.33992,21.42192,21.23145,1237663783128990813,0.1765755
12.1846663634884,-0.76080274227604,52910.32509851,25.40811,23.60488,22.07834,21.57275,21.22955,1237663276322456367,0.1741894
12.1935456088734,-0.770024405514983,51136.16731706,23.69522,21.61732,20.89368,20.44319,19.47276,1237646646197551509,0.1030878
12.2026206249148,-0.761024315836376,52910.3255131401,22.66564,22.76996,21.5036,21.12096,20.67432,1237663276322521383,0.07717218
12.1808852788417,-0.763240161043663,52963.1755465901,22.9581,24.4658,22.30518,23.23195,21.45847,1237663783128990589,0.5473441
12.2010481157564,-0.766963207439427,52910.3255131401,22.5948,23.21407,21.93899,21.79495,21.23902,1237663276322521718,0.1361677
12.2099221797493,-0.768531066823987,52910.3255131401,24.31388,23.84098,22.43224,21.90181,21.44665,1237663276322521732,0.1715873
12.2084941504475,-0.765161648395377,52963.1755465901,25.70971,23.24892,22.22592,21.69271,21.58498,1237663783128990628,0.1461259
12.209822987365,-0.768380282238384,52963.1755465901,24.74207,23.80127,23.00058,21.63779,21.21282,1237663783128990814,0.1346922
12.1929125983609,-0.770236889191413,52963.1755465901,22.89918,22.35737,21.82858,21.60873,21.98591,1237663783128990233,0.1494624
12.1935676680248,-0.76998978694532,52963.1755465901,22.80544,22.46097,21.48998,20.7092,19.86014,1237663783128990232,0.05885354
12.1951039923093,-0.764276097347772,52963.1755465901,23.59707,22.1295,20.66808,20.10554,19.64713,1237663783128990241,0.03679503
12.2009847809465,-0.766970600684133,52963.1755465901,22.92625,22.40709,21.84934,21.78352,21.3489,1237663783128990257,0.1182834
12.2026184218765,-0.761028630875808,52963.1755465901,24.84105,22.61205,21.38125,20.99947,20.48024,1237663783128990267,0.06910598
12.2085721126691,-0.765187308241428,52935.25233815,23.85159,23.37873,22.0868,21.76894,21.61627,1237663525449892547,0.165242
12.193580642097,-0.769986538950012,54424.2049789,21.27654,21.65836,20.61343,20.09957,19.29339,1237676324423008619,0.1186634
12.1950984394047,-0.764268801834122,54424.2049789,24.45093,22.7767,20.8095,20.12909,19.64314,1237676324423008620,0.06289072
12.2098039288732,-0.768353452201876,54424.2049789,27.72114,25.04328,21.90409,20.69486,21.05499,1237676324423008826,0.1809187
12.1951078054844,-0.76427815104812,52586.24493694,23.84797,22.22134,20.57337,19.85358,19.30093,1237660355752755707,0.05287293
12.201013645978,-0.766937063044432,52586.24493694,24.01132,22.72884,21.93168,21.65317,22.00945,1237660355752755719,0.1538451
