ra,dec,mjd_i,u,g,r,i,z,objID,err_i
12.1761275347819,-0.687629607418459,54379.34875676,23.93904,24.54648,23.19347,20.69616,19.72061,8658200452577690322,0.07326196
12.1761600343113,-0.687575350617508,54056.27119135,24.68851,23.21011,22.11643,20.48531,19.6777,8658198494073061995,0.06463824
12.1762040268356,-0.687556673619901,53352.1457481,25.31995,24.67267,22.13513,20.67404,19.89097,8658191982880752312,0.05731435
12.1762001627805,-0.687549946945355,53622.35405081,24.6315,24.59488,22.52793,20.64057,19.57454,8658194259230917206,0.073621
12.1761966864157,-0.687584660980943,54040.27893003,26.46728,23.67459,21.90173,20.47663,19.36883,8658198279323845045,0.09089575
12.1761893221264,-0.687558879519885,54422.2681472901,22.77943,23.52227,22.74556,20.80875,19.61654,8658201092527423997,0.08226334
12.1762446937035,-0.687556090227585,52586.244109,25.56044,23.77378,22.30036,21.01572,19.89722,8658185166775779967,0.07998673
12.1762474322558,-0.687483776535011,52931.254564,24.8751,23.98258,22.43921,20.68295,19.81885,8658188289225065108,0.05673442
12.1762160961277,-0.687550921893842,53679.3108976,23.01291,23.62029,22.48358,20.46789,20.03979,8658195281428677250,0.05894266
12.1762071795929,-0.687524033100554,53705.24519446,26.00674,24.17524,22.04151,20.52374,19.62217,8658195728113074773,0.08743764
12.1762214630942,-0.687534345008958,54008.29623531,23.2193,24.68593,22.64585,20.59889,19.8946,8658197845531296430,0.04332369
12.1762277183429,-0.687635128597702,54012.28377853,26.09298,22.62988,22.31925,20.23527,19.84605,8658197914252673593,0.04922241
12.1762070255142,-0.687535535396078,54020.28943778,22.71079,23.22425,22.22913,20.78043,19.97701,8658197974382871085,0.07528996
12.1762080984999,-0.687498639671592,54382.33890973,25.36498,23.29262,22.56421,20.32427,20.37203,8658200512681476573,0.08882704
12.1762667027168,-0.687565066736139,53634.30354024,24.6081,26.2145,22.47332,20.75499,19.69066,8658194418148573620,0.08988216
12.1762743458127,-0.687507458184821,54391.35782791,22.57277,23.75459,24.13868,20.386,20.01937,8658200667293286802,0.1055547
