ra,dec,mjd_i,u,g,r,i,z,objID,err_i
12.174038166885,-0.899278947170059,53668.28113535,25.60312,22.31244,21.49319,21.52538,20.3839,8658195066148290983,0.2112177
12.1740994188718,-0.89927211148223,53665.26954896,24.21378,22.17639,22.22706,21.76208,21.17528,8658195018904961355,0.2273169
12.1741102750654,-0.899256057217508,53989.33997235,22.15549,21.91405,21.4642,21.50688,20.92012,8658197402606895427,0.1792097
12.1741155960372,-0.899262594341729,54052.27151566,26.17541,22.24776,21.94256,21.22347,20.2421,8658198424815796603,0.1841635
12.1741024086104,-0.899231926787753,54058.26628713,23.39968,22.01429,21.21578,20.96193,20.57663,8658198532190437659,0.1382018
12.1741188898161,-0.899269456910946,54421.26751322,21.9333,22.07966,21.58336,21.36142,21.07369,8658201079105520011,0.1242525
12.1741298300393,-0.899283506898587,51075.3327138,24.30038,22.55882,21.61324,21.31594,21.37927,8658170687899894145,0.1106818
12.1741254458947,-0.899188662267647,53666.36178063,26.05546,22.27104,21.51052,21.50067,21.5652,8658195044648092032,0.1267168
12.1741283536025,-0.899285268158425,53673.25429993,24.69504,22.30491,21.60612,21.15427,20.96918,8658195160640192794,0.0846731
12.1741293023376,-0.899293717742969,53677.27183273,23.00331,22.16183,21.513,21.14793,20.95269,8658195250835620367,0.07963524
12.174127886818,-0.899268346375866,54348.3506943901,24.71899,22.13529,21.7008,21.3275,21.31986,8658200065472331986,0.1153985
12.1741300043916,-0.899263742359694,54393.34145077,22.29045,21.98996,21.38777,21.27364,20.49519,8658200692558201190,0.1016594
12.1741227923674,-0.899234372902413,54404.3270024,27.28305,21.81735,21.14345,20.86676,20.92582,8658200829973889222,0.1292902
12.1741209980151,-0.899273639594435,54423.2444858,24.13074,22.48196,21.38102,21.28766,21.76225,8658201109147549947,0.1453869
12.1741473987354,-0.899301267837599,52196.3518259,23.70661,22.30623,21.42435,21.25414,20.93019,8658181665823719818,0.1131442
12.1741440608329,-0.899305643699026,52197.3465153,23.25671,22.09267,21.54925,21.24282,21.1471,8658181717383446837,0.107866
12.1741408266094,-0.899274177871835,53272.3569912,22.69538,22.29999,21.29996,20.92725,20.94871,8658191149136347456,0.08036575
12.1741506311241,-0.899291720150612,53294.3315598,22.67245,22.10599,21.31075,21.23356,21.2106,8658191308029231444,0.1233405
12.17414523205,-0.89926020841415,53639.34909419,23.81516,22.09029,21.47841,21.37329,20.9826,8658194516372423049,0.09032093
12.1741432666384,-0.899268863446492,53693.26058432,22.10966,22.10621,21.09242,20.94559,20.88277,8658195530007445878,0.1206408
12.1741501748816,-0.899283328381508,53698.2579827,22.19051,22.16439,21.47488,21.11946,20.59341,8658195615908168043,0.09522924
12.1741512616468,-0.899261554976382,53977.38492967,23.11232,21.90598,21.52173,21.38872,21.0052,8658197312388596020,0.09809659
12.1741422578659,-0.899286237113792,54009.28929299,23.25354,22.1009,21.52824,21.21351,20.87331,8658197862175015246,0.09826651
12.1741361892516,-0.899248558822514,54011.35383611,24.02652,22.26906,21.44335,21.28713,20.71594,8658197900829851952,0.1061201
12.1741482903194,-0.899201545075271,54029.28291023,22.72968,21.59605,21.01893,20.77439,20.88302,8658198089808347540,0.156137
12.1741481331535,-0.899249225120649,54039.27308995,25.43389,21.26489,20.9411,21.25911,20.72573,8658198257312137409,0.2121421
12.1741396648029,-0.899311552053753,54041.24381013,23.35422,22.2696,21.48975,21.35219,20.59029,8658198304526631171,0.1661363
12.1741473766206,-0.899302595449698,54063.25697041,23.28868,22.2181,21.44303,21.36165,21.98195,8658198630974751019,0.1160131
12.1741484084483,-0.89924432045509,54405.32500997,22.0009,22.06702,21.63114,21.05207,20.99607,8658200851452264669,0.09665001
12.1741471100492,-0.899271326393194,54416.26215014,23.23012,21.9489,21.19593,21.08322,20.59644,8658201014682452297,0.1039406
12.1741578334862,-0.899298568785482,52207.3188058,24.57799,22.04113,21.75339,21.27126,21.4596,8658181781787836823,0.09530441
12.17417950488,-0.899285651986412,52225.1967523,23.00249,22.15338,21.51805,21.35875,20.86015,8658181914940539152,0.1113299
12.1741672021916,-0.89925389612622,52231.2323368,23.42781,22.16734,21.40091,21.12522,21.01654,8658182000859808206,0.08460654
12.174171858166,-0.899246556345648,52253.2187213,23.12017,22.51499,21.46729,21.14947,20.88325,8658182172640149749,0.09605444
12.1741613172332,-0.899329781614737,52578.2366935,22.84483,21.99456,21.54035,21.19308,20.82558,8658185045987098911,0.09689974
12.1741647178605,-0.899277959195824,52908.314852,22.74971,22.13434,21.42316,20.97561,20.62446,8658188013795017100,0.1061652
12.1741730943496,-0.899323430632066,52934.2468353,22.77127,22.0604,21.34122,21.1692,20.58273,8658188314458390835,0.1455019
12.1741779643357,-0.899259957358982,52936.2429247,25.15081,22.2581,21.48041,21.22774,21.16683,8658188353113751911,0.0882529
12.1741795339638,-0.899274211498384,53270.3069306,22.88131,22.00194,21.49537,21.1999,20.72004,8658191110488195390,0.08916026
12.1741588810551,-0.899329610381074,53286.3254244,21.95921,22.20817,21.42194,20.84787,20.86151,8658191192076386819,0.1023683
12.1741712184921,-0.899270013749001,53288.2839614,21.99637,21.95402,21.25085,20.87411,20.74634,8658191217860149585,0.09191809
12.1741591121922,-0.899315988725904,53302.2794927,23.84622,22.82224,21.49015,21.2519,20.51065,8658191402545119659,0.1270701
12.1741609637372,-0.899253600185428,53312.2351148,23.30233,22.00026,21.39357,21.25993,21.46474,8658191445488894221,0.1508553
12.1741704580236,-0.899274522633254,53314.2364029,25.97856,22.00108,21.37376,21.10617,20.86531,8658191471259419005,0.1054427
12.1741617521377,-0.899257238844826,53626.31702923,22.31734,22.42365,21.45637,21.18225,21.09934,8658194348893077964,0.1012098
12.1741733384655,-0.89927775603788,53628.302016,22.29683,22.91078,21.29818,21.10741,21.09755,8658194378957979969,0.1231065
12.1741754161899,-0.899237527265445,53635.31039765,23.82251,22.33212,21.47388,21.42153,21.10023,8658194430496604591,0.1385837
12.1741792089694,-0.899292964053558,53637.30375638,23.12811,21.79462,21.2641,21.42912,21.19023,8658194477739999419,0.2203644
12.1741744251528,-0.899308371486424,53654.33074295,22.74602,22.48061,21.41029,21.14996,20.75381,8658194804160070025,0.112507
12.1741690940058,-0.899258803464499,53670.28618839,25.14503,22.07726,21.3071,21.08497,21.28193,8658195113392800060,0.1048616
12.1741518516255,-0.899269186107105,53675.251076852,24.24401,22.14797,21.63949,21.4733,21.19608,8658195194998620446,0.1281557
12.1741638854643,-0.899282439747925,53974.33638057,22.37033,21.88675,21.39635,21.04006,21.19537,8658197269447246240,0.09292196
12.174161715256,-0.89928519828001,53995.3544190099,22.25111,21.61436,21.29681,20.9632,21.08203,8658197608740553207,0.07803474
12.1741675151547,-0.899275455573238,54025.35284867,23.0234,22.35373,21.49567,21.04621,22.20185,8658198033972986258,0.1153646
12.1741622921762,-0.899269285239962,54031.26997516,23.30558,22.01041,21.48612,21.32627,20.95703,8658198132758086067,0.1083998
12.1741555278728,-0.899254447730445,54048.26766297,23.9016,22.07338,21.64663,21.18611,21.15182,8658198343212663186,0.0905603
12.1741536045096,-0.899188355691887,54054.29021254,24.50269,21.74044,21.44209,21.09949,21.40776,8658198454880567558,0.1426138
12.1741693152502,-0.899263141485507,54055.26793218,23.8033,22.26732,21.51553,21.21095,20.4948,8658198476355731715,0.1274085
12.1741573585234,-0.899258771472728,54060.28796094,22.50777,22.22428,21.40026,21.335,20.56111,8658198562246033771,0.1378635
12.1741680423845,-0.899279676043064,54365.33922987,22.73598,21.94265,21.41237,21.12788,21.26779,8658200271636464084,0.08948352
12.1741710508024,-0.899254960862261,54381.35899131,22.61646,22.27845,21.3747,21.3278,20.86221,8658200494970372507,0.0947169
12.1741960089489,-0.899271604807611,52557.3402749,23.42822,22.1756,21.57317,21.36056,21.30784,8658184818355470710,0.123656
12.1742158934077,-0.899186298692785,53296.2784716,23.77252,22.12019,21.71856,21.00074,20.54283,8658191325203398987,0.121251
12.1741943645409,-0.899313851413681,53298.3285749,22.31534,22.10422,21.12707,21.08357,20.75169,8658191350976676103,0.1837613
12.1741866604828,-0.899262953534281,53616.34083161,24.31156,22.58514,21.75239,21.12871,21.26621,8658194189964935573,0.1257267
12.1742066044655,-0.899284279824863,53663.29165311,22.43476,22.80686,21.46232,21.2374,20.4759,8658194954467803561,0.121936
12.1741807778125,-0.899251232513116,53680.25875407,22.31296,22.03673,21.24455,21.09216,20.78745,8658195293783130498,0.0980237
12.1742843680027,-0.899364072653943,53704.2438639,23.67418,22.38937,22.04812,21.36325,21.56456,8658195701806006559,0.1632177
12.1742062257924,-0.899278671448513,54000.31536255,24.63491,22.00155,21.3265,21.39346,21.08593,8658197698953281792,0.1812313
12.174221641671,-0.899288341313304,54006.2619797,23.50807,21.88003,21.29196,20.76228,20.66363,8658197810622366132,0.08400033
12.1741915382472,-0.899278448788825,54007.3656874,25.09965,22.41309,21.57059,21.20803,21.32376,8658197832094253257,0.1038738
12.1741913406714,-0.899321285345601,54036.2747604,22.51697,22.2341,21.38242,20.79188,20.63093,8658198218657562926,0.1057213
12.1741811531891,-0.899299551003655,54384.36541563,22.50808,22.46646,21.44375,21.30057,21.21919,8658200550794854824,0.1329963
12.1741810862331,-0.899293649860269,54386.35107818,23.27268,22.40025,21.55093,21.61982,21.2299,8658200580887609813,0.1864058
12.174184475173,-0.899276138665687,54406.26296852,23.40215,22.09059,21.49341,21.05591,20.80048,8658200868652188068,0.1010356
12.1742197333537,-0.899271852310635,54412.2660131099,23.12066,22.04609,21.28928,21.03796,20.96881,8658200950256697709,0.1144059
