ra,dec,mjd_i,u,g,r,i,z,objID,err_i
12.1741954993811,-0.89926553673428,52557.33902614,23.46509,22.20084,21.57445,21.35415,21.35448,1237660007332446631,0.1171894
12.1741581037496,-0.899308858402457,52207.31880636,24.60529,22.06884,21.75127,21.24969,21.42761,1237656970764812691,0.09182747
12.1741822249882,-0.899267603982098,52936.242923,25.15429,22.28332,21.47861,21.21037,21.16241,1237663542090727802,0.08222874
12.1741443639368,-0.899288719389584,53272.35698773,22.75386,22.32103,21.3329,20.93481,20.91776,1237666338113323320,0.0760576
12.1741576002497,-0.899316619527127,52934.24683356,22.88227,22.05599,21.35955,21.19226,20.5431,1237663503435366715,0.1391044
12.1741663654702,-0.899329957979993,52578.23544417,22.82722,22.03399,21.54288,21.21799,20.83451,1237660234964074787,0.09269974
12.1741679209218,-0.89928873422147,53314.2364013,26.01459,22.04398,21.40922,21.13347,20.85968,1237666660236394886,0.100741
12.1741785101879,-0.899289622810476,52225.19675301,23.09381,22.08894,21.5134,21.36434,20.86851,1237657103917515028,0.1055988
12.1741618195236,-0.8993412767996,53286.32542288,21.86544,21.87841,21.30704,20.71604,20.66318,1237666381053362748,0.09572767
12.1741768778029,-0.899262405688029,53312.23511398,23.21898,22.02707,21.40998,21.27188,21.51027,1237666634465870112,0.1447818
12.1741476882227,-0.899309878337954,52197.34651349,23.35922,22.09303,21.54783,21.23655,21.11133,1237656906360422711,0.1029148
12.174161843379,-0.899304428576827,53294.33155921,22.6779,22.03746,21.23618,21.11525,21.0831,1237666497006207327,0.1145517
12.1741759716629,-0.899263651094123,52231.23233651,23.51352,22.17335,21.41627,21.13132,21.03198,1237657189836784136,0.08056021
12.1741273354684,-0.899280070585217,51075.3327111401,24.15437,22.55991,21.63041,21.30794,21.4041,1237645876876870069,0.1054979
12.1741489767884,-0.899307916629375,52196.35182547,23.73823,22.31974,21.43413,21.2488,20.95314,1237656854800695715,0.1080758
12.1741827214702,-0.899259089118503,52253.21872105,23.22338,22.52011,21.46881,21.15465,20.87045,1237657361617125648,0.09127528
12.1741919599248,-0.899288073528906,53270.30692727,22.90005,22.01554,21.50765,21.19247,20.71487,1237666299465171278,0.08354529
12.1741751402586,-0.899274181740946,53288.28395912,22.05601,21.97925,21.25927,20.8897,20.70275,1237666406837125485,0.08683007
12.174154913257,-0.899332471334366,51134.17160971,24.93608,22.01759,21.57824,21.04631,20.30181,1237646585532580098,0.1416873
12.1741623314878,-0.899327282630575,53298.32857315,22.34419,21.94032,20.9477,20.84709,20.62466,1237666539953651983,0.141481
12.1741706485304,-0.899284078843534,52908.31485095,22.75241,22.13521,21.38884,20.94599,20.60309,1237663202771993005,0.1015102
