ra,dec,mjd_i,u,g,r,i,z,objID,err_i
12.1929125976962,-0.770236897176999,52963.17471733,22.90864,22.3552,21.83383,21.61719,22.00024,1237663783128990233,0.149433
12.1929144169075,-0.770279493892621,52558.3518048,23.70894,22.84148,22.07201,21.99115,22.37085,1237660025045975427,0.1705243
12.1929772323028,-0.770194835112213,52959.19494393,24.13992,22.19938,21.94816,21.46322,21.80186,1237663714409054757,0.1316031
12.1929843253045,-0.770274459440667,52931.25456227,24.86395,22.81289,21.69849,22.66166,21.61839,1237663478202040832,0.3928978
12.1929972961936,-0.770220524792133,52910.32426924,22.86092,22.1307,21.83696,21.68833,21.98219,1237663276322456186,0.1638383
12.1929982521561,-0.770295070060843,52577.23916663,24.07817,23.13985,22.16837,22.13825,21.91788,1237660222616633916,0.1947138
12.1935456089464,-0.77002441070659,51136.16648779,23.6896,21.62136,20.89614,20.44773,19.48516,1237646646197551509,0.1030865
12.193555150056,-0.770003689749075,51819.38787794,21.96305,21.55314,20.93182,20.21065,19.74897,1237653011368116438,0.0695263
12.1935585596158,-0.769992865785299,52552.34309687,22.34264,21.71053,20.85894,20.23252,19.51501,1237659904789578364,0.06052143
12.1935589039807,-0.770019697499368,52935.25150889,22.06382,21.25231,20.56947,20.17041,19.21928,1237663525449892326,0.08429165
12.1935638513556,-0.770012461723379,52959.19494393,22.55285,22.80998,21.78938,21.20479,20.3274,1237663714409054756,0.07089116
12.1935676673466,-0.769989795092232,52963.17471733,22.81503,22.45879,21.49525,20.71774,19.88214,1237663783128990232,0.0588513
12.1935701483727,-0.770042645238032,51081.31667745,21.75927,21.19246,20.70415,19.94413,19.34305,1237646010551632134,0.06629809
12.1935730791698,-0.769971861441486,52558.3518048,22.3145,22.24404,21.58716,20.63114,20.00735,1237660025045975426,0.06164547
12.1935731019665,-0.769980213592133,52586.24410767,21.72761,21.4708,20.65679,20.12405,19.42412,1237660355752755699,0.08018738
12.1935750621962,-0.769990690432113,53352.1457467599,22.35293,21.87422,21.09495,20.58514,19.83834,1237667171857727978,0.07406912
12.1935806382688,-0.76998654954112,54424.20414964,21.2756,21.66333,20.61791,20.10819,19.30777,1237676324423008619,0.1186619
12.1935845678398,-0.770004684471313,52931.25456227,22.46719,22.29894,21.7385,20.8508,20.43561,1237663478202040831,0.07196373
12.1935973188868,-0.769947284666886,52910.32426924,23.40674,23.39971,21.8544,21.0995,20.47848,1237663276322456185,0.07143638
12.193610643013,-0.769995382814116,52577.23916663,22.83411,22.0626,21.25747,20.50607,20.06974,1237660222616633915,0.06600522
12.19361503707,-0.769996693444587,52522.34884536,21.64928,21.76975,20.99084,20.19212,19.72328,1237659754449142208,0.07065767
