ra,dec,mjd_i,mjd_u,mjd_g,mjd_r,mjd_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,modelMagErr_i,modelMagErr_g,modelMagErr_u,modelMagErr_r,modelMagErr_z
12.193563046179,-0.770008284357602,51819.3878788,51819.388708,51819.3903664,51819.3870497,51819.3895372,22.06493,21.5989,21.01773,20.28152,19.8156,8658177822391140555,0.06564704,0.1147996,0.51482,0.09891842,0.1723004
12.193558455598,-0.769987257890373,52552.3447596,52552.345589,52552.3472477,52552.3439303,52552.3464184,22.45744,21.76156,20.91261,20.29413,19.58346,8658466190789378335,0.05749112,0.1141495,0.581237,0.07444138,0.1211898
12.193579696563,-0.76996957603578,52558.3530531,52558.3538824,52558.3555409,52558.3522239,52558.3547114,22.33616,22.25725,21.63071,20.64045,20.02943,8658184836068999558,0.05817427,0.1227777,0.3932424,0.1068388,0.1272294
12.1936116256915,-0.769991381057822,52577.2404147,52577.2412439,52577.2429023,52577.2395855,52577.2420731,22.8166,22.01154,21.17494,20.44365,20.03072,8658185033639658009,0.06336409,0.1136556,0.6905257,0.08351895,0.1651314
12.193571232555,-0.769975829648296,52586.244109,52586.2449383,52586.2465967,52586.2432798,52586.2457675,21.67492,21.4694,20.64572,20.12156,19.39121,8658185166775779686,0.07402092,0.09371952,0.3223822,0.07930351,0.156514
12.1936100112037,-0.769990182368512,52931.254564,52931.2553934,52931.257052,52931.2537347,52931.2562227,22.45903,22.19559,21.57642,20.66998,20.26342,8658188289225064922,0.06672611,0.1299064,0.4793872,0.1057246,0.1817671
12.1935510710346,-0.770012885280114,52935.2515118,52935.2523412,52935.2539998,52935.2506825,52935.2531705,22.01645,21.21361,20.54775,20.13524,19.17462,8658188336472916429,0.07743651,0.08909194,0.5653576,0.08049401,0.1328809
12.1935772692812,-0.7699812401035,52963.1747175,52963.1755468,52963.1772054,52963.1738882,52963.1763761,22.6613,22.39103,21.48484,20.67487,20.01753,8658188594152014364,0.05203523,0.1240202,0.4222393,0.07826684,0.1105397
12.1935634290779,-0.769983775766087,53352.1457481,53352.1465768,53352.1482352,53352.1449186,53352.1474062,22.27866,21.81203,21.02211,20.50836,19.75803,8658191982880752071,0.06876414,0.1088637,0.4724508,0.07359534,0.1515757
12.1934651160016,-0.769986357957368,53634.30354024,53634.30436953,53634.30602811,53634.30271095,53634.30519882,22.54464,22.62606,21.82057,20.39618,20.01651,8658194418148573488,0.09295123,0.7411252,1.786122,0.3270791,0.1767496
12.193545642932,-0.769969676020551,53638.34492638,53638.34575567,53638.34741413,53638.3440971,53638.34658484,23.36128,23.50145,22.19111,21.24381,20.63752,8658194495439241561,0.07623465,0.4078113,0.9608669,0.150363,0.1689625
12.1935394309562,-0.770043327388726,53655.28089453,53655.28172382,53655.28338239,53655.28006524,53655.2825531,21.80992,21.48588,20.97558,20.45067,19.84148,8658194821877203265,0.09585865,0.1557547,0.5195991,0.1372421,0.2004484
12.1935105018155,-0.769922994173545,53664.30609404,53664.30692333,53664.3085819,53664.30526475,53664.30775262,21.55804,23.58612,21.806,20.95582,20.36334,8658194997966209447,0.1455,1.123863,0.4823144,0.2603148,0.2462036
12.193578589243,-0.769979830148906,53669.26518442,53669.26601371,53669.26767228,53669.26435525,53669.266843,22.40121,22.24303,21.55225,20.91102,20.10052,8658195092456473211,0.06456508,0.09177411,0.3412508,0.08090631,0.1216505
12.1935155568471,-0.769961947681504,53674.24964098,53674.25047027,53674.25212884,53674.2488117,53674.25129955,24.74258,21.45293,20.77427,20.23099,19.30568,8658476657627103559,0.06754889,0.09290023,2.87765,0.08289918,0.1101105
12.19349956284,-0.769980198789162,53679.3108976,53679.3117268901,53679.31338546,53679.31006843,53679.31255617,22.14623,21.63525,20.92696,20.20909,19.90545,8658195281428676925,0.07868417,0.1219335,0.6344247,0.1163053,0.229476
12.1935744124066,-0.769958876398948,53681.30236995,53681.3031992401,53681.30485781,53681.30154078,53681.30402852,22.38444,21.76381,22.16243,20.50538,19.78022,8658195350154772812,0.08501481,0.11937,0.7303998,0.3378717,0.1665021
12.1935082947644,-0.769958204520339,53685.2613568291,53685.262186111,53685.263844676,53685.260527431,53685.263015394,22.19729,22.04403,21.55262,20.55334,19.72817,8658195423170462091,0.1199093,0.4830478,1.113568,0.3091046,0.1511742
12.1935609422877,-0.769972066393651,53697.25942276,53697.26025205,53697.26191061,53697.25859348,53697.26108133,22.14472,21.51768,20.89176,20.31584,19.6063,8658195603559022946,0.06907765,0.1241759,0.6381118,0.09367674,0.1352563
12.1935394887394,-0.770043678769327,53700.25832294,53700.25915223,53700.2608107901,53700.25749366,53700.25998151,22.5799,21.87575,20.98059,20.34305,19.93174,8658195646510793044,0.0702055,0.1284231,0.8378505,0.09042726,0.1889582
12.1935953131215,-0.770026417860125,53705.24519446,53705.2460237401,53705.24768231,53705.2443652901,53705.24685302,22.36405,22.44154,21.45668,20.92994,20.27288,8658195728113074501,0.06804118,0.1532921,0.4436471,0.08572365,0.1483123
12.1935821103208,-0.770005608939576,53975.32998955,53975.33081884,53975.3324774,53975.32916027,53975.33164812,21.94085,21.06767,20.40277,19.82486,19.15773,8658197287184630245,0.0660182,0.08256746,0.6157924,0.07049242,0.1420133
12.193579557921,-0.770001849470861,53990.34299049,53990.34381977,53990.34547823,53990.3421612,53990.34464894,22.86471,21.44596,20.9322,20.10927,19.48447,8658197471842009422,0.08878767,0.2619849,1.929653,0.1655283,0.1616239
12.1935749239171,-0.770009681451498,53994.35298327,53994.35381256,53994.3554711401,53994.35215399,53994.35464185,22.04868,22.44618,21.57689,20.81726,20.10209,8658197579219206377,0.06695728,0.1270098,0.2807612,0.09726205,0.1259262
12.193565054534,-0.770059873673936,53998.30527396,53998.30610324,53998.30776182,53998.30444467,53998.30693253,21.69328,21.6368,20.90181,20.32496,19.91111,8658197673735094853,0.07296371,0.2160372,0.5124876,0.07997219,0.2474079
12.1935857414069,-0.76998610366347,54010.29104424,54010.29187352,54010.29353209,54010.29021495,54010.29270281,22.21269,22.02301,21.1007,20.52347,19.69584,8658197879891362080,0.06013182,0.1621846,0.4633684,0.08360957,0.09661328
12.1935275973395,-0.769973536977138,54020.28985248,54020.29068165,54020.29234022,54020.28902319,54020.29151094,21.60993,21.85554,20.70106,20.06932,19.9079,8658197974382936400,0.07904131,0.3129153,0.5543031,0.1183759,0.2900304
12.1935263423121,-0.770013280566864,54028.35965822,54028.36048751,54028.36214609,54028.35882905,54028.3613168,25.06229,21.52013,20.73634,20.34127,19.92797,8658198077428728112,0.09612121,0.1017696,3.036618,0.09454373,0.2393345
12.1935711814641,-0.770014648846767,54030.28329798,54030.28412726,54030.28578584,54030.2824688099,54030.28495655,23.16418,22.41346,21.6239,20.8302,20.0622,8658198111820317115,0.05882007,0.112139,0.6310443,0.08517248,0.1252627
12.1934979462131,-0.770015017534378,54035.3590313599,54035.35986065,54035.36151922,54035.35820207,54035.36068993,22.817,21.722,21.10448,20.39151,19.734,8658198206296162538,0.08572254,0.1294217,1.206285,0.1319881,0.1805524
12.1935404796995,-0.769977447575065,54040.27893003,54040.27975931,54040.2814178901,54040.27810074,54040.2805886,21.59424,20.329,20.04803,19.65567,19.29428,8658198279323844925,0.1091442,0.18544,1.409943,0.1499592,0.2595955
12.1934853922692,-0.770131654701825,54047.30961692,54047.31044621,54047.31210477,54047.30878764,54047.3112754901,20.83543,22.05365,20.93654,20.08557,19.44436,8658198330839466263,0.1106367,0.7600698,0.5432581,0.251064,0.206865
