ra,dec,mjd_i,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,objID,err_i
12.1931255242995,-0.770207275378614,54407.26771017,22.59668,22.01069,21.05177,20.57034,20.06766,8658200882074026341,0.1009413
12.1932920046879,-0.770135859140418,53694.2753626,21.72439,21.80879,21.05408,20.66675,19.73624,8658195547724644545,0.1375678
12.1933776173064,-0.770155873372072,54059.26586335,26.30565,21.25753,20.5814,20.06984,19.91936,8658198545613062318,0.08965907
12.1933776190159,-0.770155871480229,54059.26586335,26.73163,21.19266,20.58166,20.06951,20.00132,8658198545613062319,0.0897343
12.1933965420578,-0.770070403899657,54391.35824261,22.0191,21.54122,20.9743,20.1803,20.08034,8658200667293352055,0.101621
12.193396517462,-0.770070430758001,54391.35824261,21.9238,21.4507,20.97492,20.18937,20.25613,8658200667293352056,0.1024237
12.1934651160016,-0.769986357957368,53634.30354024,22.54464,22.62606,21.82057,20.39618,20.01651,8658194418148573488,0.09295123
12.1934979462131,-0.770015017534378,54035.3590313599,22.817,21.722,21.10448,20.39151,19.734,8658198206296162538,0.08572254
12.1934853922692,-0.770131654701825,54047.30961692,20.83543,22.05365,20.93654,20.08557,19.44436,8658198330839466263,0.1106367
12.1934800463271,-0.770034601718859,54049.30520574,21.53845,21.80938,20.84528,20.28713,19.74617,8658198360908300672,0.0908637
12.1934733109914,-0.770070249784814,54049.30562032,21.61814,21.97395,20.91575,20.37961,19.84518,8658198360908366069,0.09172064
12.193474032493,-0.770001090147329,54068.25136334,26.22127,22.59585,20.33362,19.72272,19.32815,8658198708793901267,0.08340495
12.193434979238,-0.770016893858276,54387.3572933,22.01858,21.94815,20.92605,20.49591,19.869,8658200594310955247,0.08644994
12.193438231312,-0.770017931768844,54391.35782791,21.57353,21.37046,20.88437,20.08283,19.85922,8658200667293286641,0.09400101
12.193530855158,-0.769973669317179,53638.34492638,22.05513,21.73045,20.88213,20.19353,19.66084,8658194495439241560,0.06167239
12.1935394309562,-0.770043327388726,53655.28089453,21.80992,21.48588,20.97558,20.45067,19.84148,8658194821877203265,0.09585865
12.1935105018155,-0.769922994173545,53664.30609404,21.55804,23.58612,21.806,20.95582,20.36334,8658194997966209447,0.1455
12.19349956284,-0.769980198789162,53679.3108976,22.14623,21.63525,20.92696,20.20909,19.90545,8658195281428676925,0.07868417
12.1935082947644,-0.769958204520339,53685.2613568291,22.19729,22.04403,21.55262,20.55334,19.72817,8658195423170462091,0.1199093
12.1935394887394,-0.770043678769327,53700.25832294,22.5799,21.87575,20.98059,20.34305,19.93174,8658195646510793044,0.0702055
12.1935281823863,-0.769944528617709,54008.29623531,21.96793,21.00432,20.41984,19.77025,19.08713,8658197845531296241,0.057449
12.1935281718389,-0.769944397268644,54008.29623531,22.72806,21.82276,21.13362,20.43172,19.66735,8658197845531296242,0.06108729
12.1935275973395,-0.769973536977138,54020.28985248,21.60993,21.85554,20.70106,20.06932,19.9079,8658197974382936400,0.07904131
12.1935263423121,-0.770013280566864,54028.35965822,25.06229,21.52013,20.73634,20.34127,19.92797,8658198077428728112,0.09612121
12.1935404796995,-0.769977447575065,54040.27893003,21.59424,20.329,20.04803,19.65567,19.29428,8658198279323844925,0.1091442
