ra,dec,mjd_i,u,g,r,i,z,objID,err_i
12.2009485956445,-0.773295723903238,54413.26320611,24.65817,20.69491,19.48347,18.88775,18.5243,8658200972268863625,0.01501133
12.2010162852413,-0.766968557529161,52522.3488462,24.7129,22.56292,21.70212,21.79059,21.11991,8658466040448876985,0.1863913
12.202653207176,-0.761049451737674,52522.3488462,23.85173,22.47048,21.56393,20.99793,21.34195,8658466040448876988,0.09329919
12.2009508512226,-0.773284733027022,52522.3488462,24.3302,20.92135,19.47666,18.8621,18.56927,8658466040448876702,0.01472408
12.193608991468,-0.769994786587517,52522.3488462,21.73616,21.82828,20.99175,20.19764,19.66051,8658466040448876967,0.06681661
12.1950863231343,-0.764284895037752,52522.3488462,22.23038,22.26413,20.52131,19.95082,19.47443,8658466040448876972,0.05155016
12.1851962631715,-0.778271967946832,52522.3488462,22.40927,22.98706,21.92231,22.06719,23.297,8658466040448877362,0.3659422
12.1856102050886,-0.778073895353499,54413.26320611,22.70705,22.90584,22.54562,21.65849,20.70388,8658200972268864189,0.1865734
12.1883397827481,-0.760568546270012,54413.26320611,23.25811,25.26116,22.2817,23.66515,22.70111,8658200972268864106,0.8889471
12.1915290505807,-0.762411225107697,54413.26320611,22.55792,20.55008,19.1365,18.48493,18.0439,8658200972268863624,0.01117476
12.1972228405707,-0.766327168083563,52522.3488462,23.48002,24.72555,26.08332,25.0655,20.60445,8658466040448877346,0.7214277
12.1915441824586,-0.762411602845785,52522.3488462,22.88903,20.63455,19.16868,18.44812,18.05952,8658466040448876700,0.01114957
12.1935319373858,-0.770019476618364,54413.26320611,22.19304,21.3008,20.70673,20.08167,19.57695,8658200972268863924,0.07301441
12.1950762990224,-0.764278177136016,54413.26320611,25.85773,22.05951,20.60411,19.96477,19.72732,8658200972268863928,0.04886239
12.1915335159354,-0.762399184402787,52552.3443449,23.8238,20.57756,19.17842,18.47771,18.10904,8658466190789312668,0.009937112
12.2026328657837,-0.760982560553008,52552.3447596,23.18196,22.51278,21.54377,21.0921,21.27335,8658466190789378351,0.07110627
12.193558455598,-0.769987257890373,52552.3447596,22.45744,21.76156,20.91261,20.29413,19.58346,8658466190789378335,0.05749112
12.1950953821084,-0.764273833599931,52552.3447596,24.63205,22.39949,20.72985,19.99638,19.65606,8658466190789378336,0.03662588
12.1856805180249,-0.765128325996492,52552.3443449,22.85279,25.11035,24.72298,24.52454,20.50505,8658466190789313477,0.737501
12.1931359312655,-0.778425711889058,52552.3447596,23.43124,23.53948,23.31673,22.18005,21.65825,8658466190789378843,0.1891479
12.2025769252303,-0.760996307276995,54418.26328923,23.20879,22.71843,21.43079,20.93266,20.94805,8658201040988996140,0.07674576
12.2009915594756,-0.773280374961765,54422.2681472901,22.78089,20.75399,19.46122,18.86115,18.55746,8658201092527423574,0.01551658
12.2009878427024,-0.766915464202561,54418.26328923,22.58364,22.66548,21.96646,21.63353,21.17372,8658201040988996139,0.1302086
12.1915603748731,-0.762410651192325,54422.2681472901,23.13008,20.51645,19.14814,18.44379,18.08325,8658201092527423571,0.01159859
12.1846253770734,-0.760963602780039,54418.26328923,23.31783,23.43778,22.65129,21.6435,21.25493,8658201040988996405,0.1384825
12.1854380735581,-0.778181312537077,54418.26328923,25.81581,22.32728,22.33117,22.06859,22.22782,8658201040988996102,0.2997086
12.1855803790495,-0.778011654846371,53622.35405081,23.24535,22.8426,22.3981,22.29313,21.17052,8658194259230917106,0.2791536
12.1914974935122,-0.762391744441003,54418.26328923,23.60114,20.51424,19.12698,18.48094,18.02843,8658201040988995704,0.01019725
12.2009656571509,-0.773282538588095,53622.35405081,23.35661,20.8627,19.56439,18.90643,18.53581,8658194259230916698,0.01911031
12.1915450817994,-0.762408600414603,53622.35405081,25.81562,20.68059,19.22997,18.51421,18.12145,8658194259230916697,0.01202136
12.1935157676354,-0.769999589915981,54418.26328923,22.28683,21.45245,20.78608,20.1747,19.42299,8658201040988996122,0.0642052
12.2009957867731,-0.766979447795988,52552.3447596,22.6755,22.57272,21.71676,21.55455,21.64076,8658466190789378348,0.1079144
12.194831984784,-0.774779711270889,54422.2681472901,20.94922,19.14664,18.58681,18.38995,18.41194,8658201092527423535,0.01233611
12.1950526541656,-0.76426069173878,54418.26328923,21.95569,22.38778,20.66852,20.02064,19.60025,8658201040988996127,0.04115808
12.1951428184407,-0.764252297819088,53622.35405081,22.68352,22.51624,20.75078,20.01835,19.66311,8658194259230917117,0.04874128
12.1915378524616,-0.762399739452946,53664.30609404,24.61677,20.78582,19.43008,18.73406,18.2859,8658194997966209152,0.01855385
12.2026350509631,-0.76096009575122,53664.30609404,25.79009,22.29435,21.8132,21.17182,22.32115,8658194997966209450,0.1639961
12.2009564944201,-0.773274075726793,53664.30609404,25.02003,20.91702,19.67514,19.10766,18.69148,8658194997966209160,0.02530848
12.1935105018155,-0.769922994173545,53664.30609404,21.55804,23.58612,21.806,20.95582,20.36334,8658194997966209447,0.1455
12.1950611349424,-0.76424954058182,53664.30609404,26.06304,23.52552,21.10514,20.43019,20.19828,8658194997966209315,0.09433237
12.2022645490811,-0.768296866284441,53664.30609404,25.58931,21.85261,25.80755,25.24775,21.66566,8658194997966209163,1.029814
12.2028261284229,-0.766464082721276,54407.26771017,22.6534,23.8386,25.08307,24.03819,22.54375,8658200882074026177,1.469692
12.2009755757196,-0.773294114686725,54407.26771017,23.13267,20.68327,19.49977,18.86564,18.52437,8658200882074026352,0.02168221
12.1929089697321,-0.770291414077465,54411.22267658,22.8106,22.59004,21.952,21.46297,22.56539,8658200933607342344,0.1229594
12.1929436357719,-0.770294729086045,53669.26518442,25.77012,22.79681,21.73957,21.42945,22.42503,8658195092456473212,0.1527522
12.2010155303406,-0.766974587937501,53669.26518442,23.66224,22.77643,22.0624,21.65271,21.40307,8658195092456473237,0.1015847
12.2008160602774,-0.767221761126457,54059.26586335,23.21329,22.94997,22.03612,21.47879,23.94362,8658198545613062540,0.1728287
12.1915227788643,-0.762441740872786,54387.3572933,22.37958,20.54703,19.11045,18.44305,18.04437,8658200594310955088,0.01222699
12.185394407684,-0.778043930288783,54417.26530361,22.43508,22.46206,21.92076,21.85439,21.06298,8658201028077093222,0.2301855
12.1853903486004,-0.778005426308296,53669.26518442,23.00711,22.44389,22.27968,21.67376,21.36609,8658195092456473190,0.1658891
12.2026309178637,-0.761016707989085,53669.26518442,22.73085,22.28852,21.39749,20.82277,20.75612,8658195092456473240,0.07015119
12.1931510167468,-0.778530368383283,54411.22267658,23.01567,22.66155,22.71908,22.03759,21.86343,8658200933607343211,0.2952749
12.1853510724596,-0.778029099625157,52552.3443449,23.92765,22.69124,22.49972,22.39724,21.99901,8658466190789313077,0.2504606
12.200953165159,-0.773281500443131,52931.254564,23.06234,20.74327,19.42722,18.86715,18.53072,8658188289225064594,0.01318354
12.1935394887394,-0.770043678769327,53700.25832294,22.5799,21.87575,20.98059,20.34305,19.93174,8658195646510793044,0.0702055
12.2009509427687,-0.773286811092045,54411.22267658,23.98404,20.75327,19.39183,18.87327,18.52017,8658200933607342165,0.0118452
12.193578589243,-0.769979830148906,53669.26518442,22.40121,22.24303,21.55225,20.91102,20.10052,8658195092456473211,0.06456508
12.1851888385125,-0.775075720368033,53700.25832294,25.78679,26.45615,22.29264,24.81808,22.04747,8658195646510793246,0.7812958
12.1851108082306,-0.77381291838275,53669.26518442,20.1784,22.52425,20.02851,24.90084,24.29685,8658195092456473688,15.33748
12.2009488110216,-0.773275297548969,53669.26518442,23.52663,20.79265,19.45704,18.87731,18.54476,8658195092456472726,0.01203951
12.2009241831297,-0.773265812842821,54418.26328923,24.9501,20.78134,19.44512,18.85869,18.56747,8658201040988995742,0.01297218
12.1935875115199,-0.769969231401395,54411.22267658,22.14156,22.06421,21.43752,20.69916,20.10383,8658200933607342343,0.06339756
